,Наименование,Длина,"Цена за 1т, руб. с НДС","Цена за 1т, руб. с НДС.1",Поставщик,Поставщик.1,Город,Размер,Подраздел,Раздел
0,Арматура Ат800 10,6.7,62 500 >2т,,МБН Маркет СПб (812) 240-74-73,,Санкт-Петербург,10,Арматура Ат800,Металлопрокат
1,Арматура Ат800 10,7.6,62 800 >15т,62 800 5-15т,Металлоторг Мск (495) 727-39-74,,Москва,10,Арматура Ат800,Металлопрокат
2,Арматура Ат800 10,7.6,62 800 >15т,62 800 5-15т,Металлоторг Сам (846) 374-14-14,,Самара,10,Арматура Ат800,Металлопрокат
3,Арматура Ат800 10,7.6,62 800 >15т,62 800 5-15т,Металлоторг Каз (843) 239-53-83,,Казань,10,Арматура Ат800,Металлопрокат
4,Арматура Ат800 10,,65 500,67 500 1-5т,Металл Индустрия Крдр (861) 279-17-00,,Краснодар,10,Арматура Ат800,Металлопрокат
5,Арматура Ат800 10 (от 20т),6-14 м/д,звоните,,Абинский ЭлектроМеталлургический Завод Мск (499) 643-83-04,,Москва,10,Арматура Ат800,Металлопрокат
6,Арматура Ат800 10,,звоните,,Абинский ЭлектроМеталлургический Завод Крдр (861) 504-18-72,,Краснодар,10,Арматура Ат800,Металлопрокат
7,Арматура Ат800 10,11.7,звоните,,Металлокомплект-М Мск (495) 739-98-92,,Москва,10,Арматура Ат800,Металлопрокат
0,Арматура Ат800 12,11.7,54 500 >15т,54 500 5-15т,Металлоторг Каз (843) 239-53-83,,Казань,12,Арматура Ат800,Металлопрокат
1,Арматура Ат800 12,6.7,55 500 >15т,55 500 5-15т,Металлоторг Орен (3532) 43-60-66,,Оренбург,12,Арматура Ат800,Металлопрокат
2,Арматура Ат800 12,11.7,55 500 >15т,57 500 5-15т,Металлоторг Сам (846) 374-14-14,,Самара,12,Арматура Ат800,Металлопрокат
3,Арматура Ат800 12,7.6,57 500 >15т,57 500 5-15т,Металлоторг Чел (351) 255-08-08,,Челябинск,12,Арматура Ат800,Металлопрокат
4,Арматура Ат800 12,11.7,58 500 >15т,58 500 5-15т,Металлоторг Вмр (4922) 52-22-44,,Владимир,12,Арматура Ат800,Металлопрокат
5,Арматура Ат800 12,7.6,58 500 >15т,58 500 5-15т,Металлоторг Яро (4852) 67-47-05,,Ярославль,12,Арматура Ат800,Металлопрокат
6,Арматура Ат800 12,7.6,58 500 >15т,58 500 5-15т,Металлоторг Бря (4832) 72-68-08,,Брянск,12,Арматура Ат800,Металлопрокат
7,Арматура Ат800 12,6.7,58 500 >15т,58 500 5-15т,Металлоторг Бря (4832) 72-68-08,,Брянск,12,Арматура Ат800,Металлопрокат
8,Арматура Ат800 12,6.7,60 500 >2т,,МБН Маркет СПб (812) 240-74-73,,Санкт-Петербург,12,Арматура Ат800,Металлопрокат
9,Арматура Ат800 12,6.7,61 800 >15т,62 100 5-15т,Металлоторг Клг (4842) 55-55-65,,Калуга,12,Арматура Ат800,Металлопрокат
10,Арматура Ат800 12,6.7,61 800 >15т,62 100 5-15т,Металлоторг Чел (351) 255-08-08,,Челябинск,12,Арматура Ат800,Металлопрокат
11,Арматура Ат800 12,7.6,61 800 >15т,62 100 5-15т,Металлоторг Ряз (4912) 330-203,,Рязань,12,Арматура Ат800,Металлопрокат
12,Арматура Ат800 12,6.7,61 800 >15т,62 100 5-15т,Металлоторг Ряз (4912) 330-203,,Рязань,12,Арматура Ат800,Металлопрокат
13,Арматура Ат800 12,7.6,61 800 >15т,62 100 5-15т,Металлоторг Уль (8422) 34-99-00,,Ульяновск,12,Арматура Ат800,Металлопрокат
14,Арматура Ат800 12,6.7,61 800 >15т,62 100 5-15т,Металлоторг Уль (8422) 34-99-00,,Ульяновск,12,Арматура Ат800,Металлопрокат
15,Арматура Ат800 12,7.6,61 800 >15т,62 100 5-15т,Металлоторг Влгда (8172) 33-03-63,,Вологда,12,Арматура Ат800,Металлопрокат
16,Арматура Ат800 12,6.7,61 800 >15т,62 100 5-15т,Металлоторг Влгда (8172) 33-03-63,,Вологда,12,Арматура Ат800,Металлопрокат
17,Арматура Ат800 12,7.6,61 800 >15т,62 100 5-15т,Металлоторг Иж (3412) 57-38-08,,Ижевск,12,Арматура Ат800,Металлопрокат
18,Арматура Ат800 12,6.7,61 800 >15т,62 100 5-15т,Металлоторг Кур (4712) 39-04-94,,Курск,12,Арматура Ат800,Металлопрокат
19,Арматура Ат800 12,6.7,61 800 >15т,62 100 5-15т,Металлоторг Врнж (473) 233-32-42,,Воронеж,12,Арматура Ат800,Металлопрокат
20,Арматура Ат800 12,6.7,61 800 >15т,62 100 5-15т,Металлоторг Лип (4742) 75-89-66,,Липецк,12,Арматура Ат800,Металлопрокат
21,Арматура Ат800 12,7.6,61 800 >15т,62 100 5-15т,Металлоторг Сртв (8452) 44-65-95,,Саратов,12,Арматура Ат800,Металлопрокат
22,Арматура Ат800 12,11.3,61 800 >15т,62 100 5-15т,Металлоторг Сртв (8452) 44-65-95,,Саратов,12,Арматура Ат800,Металлопрокат
23,Арматура Ат800 12 2ф,6.7,61 800 >3т,61 800 <3т,ЕВРАЗ Маркет Уфа (800) 511-09-53,,Уфа,12,Арматура Ат800,Металлопрокат
24,Арматура Ат800 12,6.7,61 800 >15т,62 100 5-15т,Металлоторг Мск (495) 727-39-74,,Москва,12,Арматура Ат800,Металлопрокат
25,Арматура Ат800 12,11.7,61 800 >15т,62 100 5-15т,Металлоторг Мск (495) 727-39-74,,Москва,12,Арматура Ат800,Металлопрокат
26,Арматура Ат800 12,6.7,61 800 >15т,62 100 5-15т,Металлоторг Уфа (347) 287-52-73,,Уфа,12,Арматура Ат800,Металлопрокат
27,Арматура Ат800 12,6.7,61 800 >15т,62 100 5-15т,Металлоторг Сам (846) 374-14-14,,Самара,12,Арматура Ат800,Металлопрокат
28,Арматура Ат800 12,7.85,61 800 >15т,62 100 5-15т,Металлоторг Каз (843) 239-53-83,,Казань,12,Арматура Ат800,Металлопрокат
29,Арматура Ат800 12,6.7,61 800 >15т,62 100 5-15т,Металлоторг Каз (843) 239-53-83,,Казань,12,Арматура Ат800,Металлопрокат
30,Арматура Ат800 12,,62 000,,А ГРУПП Бар (3852) 73-05-67,,Барнаул,12,Арматура Ат800,Металлопрокат
31,Арматура Ат800 12,6.7,62 000 >1т,62 400 0.5-1т,Сталепромышленная компания Яро (4852) 60-85-53,,Ярославль,12,Арматура Ат800,Металлопрокат
32,Арматура Ат800 12,11.7,62 000 >1т,62 400 0.5-1т,Сталепромышленная компания Яро (4852) 60-85-53,,Ярославль,12,Арматура Ат800,Металлопрокат
33,Арматура Ат800 12,6.7,62 000 >1т,62 400 0.5-1т,Сталепромышленная компания Мск (4912) 77-58-47,,Москва,12,Арматура Ат800,Металлопрокат
34,Арматура Ат800 12,11.7,62 000 >1т,62 400 0.5-1т,Сталепромышленная компания Мск (4912) 77-58-47,,Москва,12,Арматура Ат800,Металлопрокат
35,Арматура Ат800 12,6.7,62 000 >1т,62 400 0.5-1т,Сталепромышленная компания Ряз (4912) 77-58-47,,Рязань,12,Арматура Ат800,Металлопрокат
36,Арматура Ат800 12,11.7,62 000 >1т,62 400 0.5-1т,Сталепромышленная компания Ряз (4912) 77-58-47,,Рязань,12,Арматура Ат800,Металлопрокат
37,Арматура Ат800 12,6.7,62 000 >1т,62 400 0.5-1т,Сталепромышленная компания Тула (4872) 63-68-47,,Тула,12,Арматура Ат800,Металлопрокат
38,Арматура Ат800 12,11.7,62 000 >1т,62 400 0.5-1т,Сталепромышленная компания Тула (4872) 63-68-47,,Тула,12,Арматура Ат800,Металлопрокат
39,Арматура Ат800 12 2ф,11.7,62 420 >1т,63 040 <1т,ЕВРАЗ Маркет Крдр (800) 511-09-53,,Краснодар,12,Арматура Ат800,Металлопрокат
40,Арматура Ат800 12 2ф,7.6,62 420 >1т,63 040 <1т,ЕВРАЗ Маркет Крдр (800) 511-09-53,,Краснодар,12,Арматура Ат800,Металлопрокат
