,Наименование,Марка стали,Длина,"Цена за 1т, руб. с НДС","Цена за 1т, руб. с НДС.1",Поставщик,Поставщик.1,Город,Размер,Подраздел,Раздел
0,Балка б/у 10,,4-6,56 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,10,Балка б/у,Металлопрокат
1,Балка б/у 10,,6-12,56 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,10,Балка б/у,Металлопрокат
2,Балка б/у 10,,5-12,58 000,,Компания ТрубоТорг Мск (495) 223-44-51 доб.,,Москва,10,Балка б/у,Металлопрокат
0,Балка б/у 10Б1,,4-6,56 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,10Б1,Балка б/у,Металлопрокат
1,Балка б/у 10Б1,,6-12,56 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,10Б1,Балка б/у,Металлопрокат
2,Балка б/у 10Б1,,5,58 000,,Компания ТрубоТорг Мск (495) 223-44-51 доб.,,Москва,10Б1,Балка б/у,Металлопрокат
0,Балка б/у 10Б2,,4-6,56 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,10Б2,Балка б/у,Металлопрокат
1,Балка б/у 10Б2,,6-12,56 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,10Б2,Балка б/у,Металлопрокат
2,Балка б/у 10Б2,,5,58 000,,Компания ТрубоТорг Мск (495) 223-44-51 доб.,,Москва,10Б2,Балка б/у,Металлопрокат
0,Балка б/у 12,,4-6,56 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,12,Балка б/у,Металлопрокат
1,Балка б/у 12,,6-12,56 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,12,Балка б/у,Металлопрокат
0,Балка б/у 12Б1,,5,58 000,,Компания ТрубоТорг Мск (495) 223-44-51 доб.,,Москва,12Б1,Балка б/у,Металлопрокат
0,Балка б/у 12Б2,,5,58 000,,Компания ТрубоТорг Мск (495) 223-44-51 доб.,,Москва,12Б2,Балка б/у,Металлопрокат
0,Балка б/у 14,,4-6,56 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,14,Балка б/у,Металлопрокат
1,Балка б/у 14,,6-12,56 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,14,Балка б/у,Металлопрокат
2,Балка б/у 14,,,75 500,,Атон Сталь Мск (495) 20-30-400,,Москва,14,Балка б/у,Металлопрокат
