,Наименование,Марка стали,"Цена за 1шт., руб. с НДС",Поставщик,Поставщик.1,Город,Размер,Подраздел,Раздел
0,Бочонок 15 ГОСТ 6357-81,,22.14,Армасети Екб (343) 226-09-76,,Екатеринбург,15,Бочонок,Металлопрокат
1,Бочонок 15 ГОСТ 6357-81,,22.14,Армасети Нск (383) 209-56-40,,Новосибирск,15,Бочонок,Металлопрокат
0,Бочонок 20 ГОСТ 6357-81,,24.93,Армасети Екб (343) 226-09-76,,Екатеринбург,20,Бочонок,Металлопрокат
1,Бочонок 20 ГОСТ 6357-81,,24.93,Армасети Нск (383) 209-56-40,,Новосибирск,20,Бочонок,Металлопрокат
0,Бочонок 25 ГОСТ 6357-81,,32.77,Армасети Екб (343) 226-09-76,,Екатеринбург,25,Бочонок,Металлопрокат
1,Бочонок 25 ГОСТ 6357-81,,32.77,Армасети Нск (383) 209-56-40,,Новосибирск,25,Бочонок,Металлопрокат
0,Бочонок 32 ГОСТ 6357-81,,51.92,Армасети Екб (343) 226-09-76,,Екатеринбург,32,Бочонок,Металлопрокат
1,Бочонок 32 ГОСТ 6357-81,,51.92,Армасети Нск (383) 209-56-40,,Новосибирск,32,Бочонок,Металлопрокат
0,Бочонок 40 ГОСТ 6357-81,,61.64,Армасети Екб (343) 226-09-76,,Екатеринбург,40,Бочонок,Металлопрокат
1,Бочонок 40 ГОСТ 6357-81,,61.64,Армасети Нск (383) 209-56-40,,Новосибирск,40,Бочонок,Металлопрокат
0,Бочонок 50 ГОСТ 6357-81,,98.21,Армасети Екб (343) 226-09-76,,Екатеринбург,50,Бочонок,Металлопрокат
1,Бочонок 50 ГОСТ 6357-81,,98.21,Армасети Нск (383) 209-56-40,,Новосибирск,50,Бочонок,Металлопрокат
