,Наименование,Марка стали,"Цена за 1шт., руб. с НДС",Поставщик,Поставщик.1,Город,Размер,Подраздел,Раздел
0,Клапан 15 обр. пруж.,,239.90,Армасети Екб (343) 226-09-76,,Екатеринбург,15,Клапан,Металлопрокат
1,Клапан 15 6кгс/см2 (0.6МПа),ст20,950.00,Стройбаза Мск (921) 835-44-88 доб.,,Москва,15,Клапан,Металлопрокат
2,Клапан 15 6кгс/см2 (0.6МПа),ст20,950.00,Стройбаза Чер (921) 835-44-88 доб.,,Череповец,15,Клапан,Металлопрокат
3,Клапан 15 100кгс/см2 (10МПа) 50град.,,1 200.00,Стройбаза Мск (921) 835-44-88 доб.,,Москва,15,Клапан,Металлопрокат
4,Клапан 15 100кгс/см2 (10МПа) 50град.,,1 200.00,Стройбаза Чер (921) 835-44-88 доб.,,Череповец,15,Клапан,Металлопрокат
5,Клапан 15 баланс. резьб. Kv=4.0м3/ч REON,,1 902.00,Армасети Мск (495) 137-58-03,,Москва,15,Клапан,Металлопрокат
6,Клапан 15 баланс. резьб. Kv=4.0м3/ч REON,,1 902.00,Армасети Екб (343) 226-09-76,,Екатеринбург,15,Клапан,Металлопрокат
7,Клапан 15 баланс. резьб. Kv=4.0м3/ч REON,,1 902.00,Армасети Нск (383) 209-56-40,,Новосибирск,15,Клапан,Металлопрокат
8,Клапан 15 Обратный фланцевый RSV33 GG25 REON Тmax=300°С,Чугун,2 841.00,Армасети Нск (383) 209-56-40,,Новосибирск,15,Клапан,Металлопрокат
0,Клапан 20 обр. пруж.,,341.70,Армасети Екб (343) 226-09-76,,Екатеринбург,20,Клапан,Металлопрокат
1,Клапан 20 обр. пруж.,,341.70,Армасети Нск (383) 209-56-40,,Новосибирск,20,Клапан,Металлопрокат
2,Клапан 20 16кгс/см2 (1.6МПа) 15б1п муфтовое,,1 800.00,Стройбаза Мск (921) 835-44-88 доб.,,Москва,20,Клапан,Металлопрокат
3,Клапан 20 16кгс/см2 (1.6МПа) 15б1п муфтовое,,1 800.00,Стройбаза Чер (921) 835-44-88 доб.,,Череповец,20,Клапан,Металлопрокат
4,Клапан 20 баланс. резьб. Kv=6.0м3/ч REON,,2 358.00,Армасети Мск (495) 137-58-03,,Москва,20,Клапан,Металлопрокат
5,Клапан 20 баланс. резьб. Kv=6.0м3/ч REON,,2 358.00,Армасети Екб (343) 226-09-76,,Екатеринбург,20,Клапан,Металлопрокат
6,Клапан 20 баланс. резьб. Kv=6.0м3/ч REON,,2 358.00,Армасети Нск (383) 209-56-40,,Новосибирск,20,Клапан,Металлопрокат
7,Клапан 20 Обратный фланцевый RSV33 GG25 REON Тmax=300°С,Чугун,3 107.00,Армасети Екб (343) 226-09-76,,Екатеринбург,20,Клапан,Металлопрокат
8,Клапан 20 Обратный фланцевый RSV33 GG25 REON Тmax=300°С,Чугун,3 107.00,Армасети Нск (383) 209-56-40,,Новосибирск,20,Клапан,Металлопрокат
0,Клапан 25 обр. пруж.,,294.38,Армасети Екб (343) 226-09-76,,Екатеринбург,25,Клапан,Металлопрокат
1,Клапан 25 обр. пруж.,,294.38,Армасети Нск (383) 209-56-40,,Новосибирск,25,Клапан,Металлопрокат
2,Клапан 25 16кгс/см2 (1.6МПа) обратный фланцевый мат,ст20 ст35,2 900.00,Стройбаза Мск (921) 835-44-88 доб.,,Москва,25,Клапан,Металлопрокат
3,Клапан 25 16кгс/см2 (1.6МПа) обратный фланцевый мат,ст20 ст35,2 900.00,Стройбаза Чер (921) 835-44-88 доб.,,Череповец,25,Клапан,Металлопрокат
4,Клапан 25 баланс. резьб. Kv=9.3 м3/ч REON,,3 367.00,Армасети Мск (495) 137-58-03,,Москва,25,Клапан,Металлопрокат
5,Клапан 25 баланс. резьб. Kv=9.3 м3/ч REON,,3 367.00,Армасети Екб (343) 226-09-76,,Екатеринбург,25,Клапан,Металлопрокат
6,Клапан 25 баланс. резьб. Kv=9.3 м3/ч REON,,3 367.00,Армасети Нск (383) 209-56-40,,Новосибирск,25,Клапан,Металлопрокат
7,Клапан 25 Обратный фланцевый RSV33 GG25 REON Тmax=300°С,Чугун,3 699.00,Армасети Екб (343) 226-09-76,,Екатеринбург,25,Клапан,Металлопрокат
8,Клапан 25 Обратный фланцевый RSV33 GG25 REON Тmax=300°С,Чугун,3 699.00,Армасети Нск (383) 209-56-40,,Новосибирск,25,Клапан,Металлопрокат
0,Клапан 32 обр. пруж.,,483.40,Армасети Екб (343) 226-09-76,,Екатеринбург,32,Клапан,Металлопрокат
1,Клапан 32 обр. пруж.,,483.40,Армасети Нск (383) 209-56-40,,Новосибирск,32,Клапан,Металлопрокат
2,Клапан 32 баланс. резьб. Kv=15 м3/ч REON,,4 590.00,Армасети Мск (495) 137-58-03,,Москва,32,Клапан,Металлопрокат
3,Клапан 32 баланс. резьб. Kv=15 м3/ч REON,,4 590.00,Армасети Екб (343) 226-09-76,,Екатеринбург,32,Клапан,Металлопрокат
4,Клапан 32 баланс. резьб. Kv=15 м3/ч REON,,4 590.00,Армасети Нск (383) 209-56-40,,Новосибирск,32,Клапан,Металлопрокат
5,Клапан 32 Обратный фланцевый RSV33 GG25 REON Тmax=300°С,Чугун,4 599.00,Армасети Екб (343) 226-09-76,,Екатеринбург,32,Клапан,Металлопрокат
6,Клапан 32 Обратный фланцевый RSV33 GG25 REON Тmax=300°С,Чугун,4 599.00,Армасети Нск (383) 209-56-40,,Новосибирск,32,Клапан,Металлопрокат
0,Клапан 40 16кгс/см2 (1.6МПа) обратн. двустворчатый межфланц.,Чугун,920.90,Армасети Нск (383) 209-56-40,,Новосибирск,40,Клапан,Металлопрокат
1,Клапан 40 обр. пруж.,,1 197.20,Армасети Екб (343) 226-09-76,,Екатеринбург,40,Клапан,Металлопрокат
2,Клапан 40 обр. пруж.,,1 197.20,Армасети Нск (383) 209-56-40,,Новосибирск,40,Клапан,Металлопрокат
3,Клапан 40 25кгс/см2 (2.5МПа) подъемн. 16кч9нж фланц.,Чугун,2 427.41,Армасети Нск (383) 209-56-40,,Новосибирск,40,Клапан,Металлопрокат
4,Клапан 40 Обратный межфланцевый RSV32 REON Траб.=95°С Тmax=120°С,,2 844.00,Армасети Екб (343) 226-09-76,,Екатеринбург,40,Клапан,Металлопрокат
5,Клапан 40 Обратный межфланцевый RSV32 REON Траб.=95°С Тmax=120°С,,2 844.00,Армасети Нск (383) 209-56-40,,Новосибирск,40,Клапан,Металлопрокат
6,Клапан 40 Обратный фланцевый RSV33 GG25 REON Тmax=300°С,Чугун,5 265.00,Армасети Екб (343) 226-09-76,,Екатеринбург,40,Клапан,Металлопрокат
7,Клапан 40 Обратный фланцевый RSV33 GG25 REON Тmax=300°С,Чугун,5 265.00,Армасети Нск (383) 209-56-40,,Новосибирск,40,Клапан,Металлопрокат
8,Клапан 40 баланс. резьб. Kv=25 м3/ч REON,,7 262.00,Армасети Мск (495) 137-58-03,,Москва,40,Клапан,Металлопрокат
9,Клапан 40 баланс. резьб. Kv=25 м3/ч REON,,7 262.00,Армасети Екб (343) 226-09-76,,Екатеринбург,40,Клапан,Металлопрокат
10,Клапан 40 баланс. резьб. Kv=25 м3/ч REON,,7 262.00,Армасети Нск (383) 209-56-40,,Новосибирск,40,Клапан,Металлопрокат
11,Клапан 40 16кгс/см2 (1.6МПа) баланс. Kvs=54м3/ч фланц. REON Тmax=120°С,,17 010.00,Армасети Екб (343) 226-09-76,,Екатеринбург,40,Клапан,Металлопрокат
12,Клапан 40 16кгс/см2 (1.6МПа) баланс. Kvs=54м3/ч фланц. REON Тmax=120°С,,17 010.00,Армасети Нск (383) 209-56-40,,Новосибирск,40,Клапан,Металлопрокат
0,Клапан 50 16кгс/см2 (1.6МПа) обратн. двустворчатый межфланц.,Чугун,932.00,Армасети Мск (495) 137-58-03,,Москва,50,Клапан,Металлопрокат
