,Наименование,Марка стали,"Цена за 1шт., руб. с НДС",Поставщик,Поставщик.1,Город,Размер,Подраздел,Раздел
0,Контргайка 15,,33.64,Армасети Екб (343) 226-09-76,,Екатеринбург,15,Контргайка,Металлопрокат
1,Контргайка 15,,33.64,Армасети Нск (383) 209-56-40,,Новосибирск,15,Контргайка,Металлопрокат
0,Контргайка 20,,38.15,Армасети Мск (495) 137-58-03,,Москва,20,Контргайка,Металлопрокат
1,Контргайка 20,,38.15,Армасети Екб (343) 226-09-76,,Екатеринбург,20,Контргайка,Металлопрокат
2,Контргайка 20,,38.15,Армасети Нск (383) 209-56-40,,Новосибирск,20,Контргайка,Металлопрокат
0,Контргайка 25,,64.32,Армасети Мск (495) 137-58-03,,Москва,25,Контргайка,Металлопрокат
1,Контргайка 25,,64.32,Армасети Екб (343) 226-09-76,,Екатеринбург,25,Контргайка,Металлопрокат
2,Контргайка 25,,64.32,Армасети Нск (383) 209-56-40,,Новосибирск,25,Контргайка,Металлопрокат
0,Контргайка 32,,98.37,Армасети Мск (495) 137-58-03,,Москва,32,Контргайка,Металлопрокат
1,Контргайка 32,,98.37,Армасети Екб (343) 226-09-76,,Екатеринбург,32,Контргайка,Металлопрокат
2,Контргайка 32,,98.37,Армасети Нск (383) 209-56-40,,Новосибирск,32,Контргайка,Металлопрокат
0,Контргайка 40,,121.48,Армасети Мск (495) 137-58-03,,Москва,40,Контргайка,Металлопрокат
1,Контргайка 40,,121.48,Армасети Екб (343) 226-09-76,,Екатеринбург,40,Контргайка,Металлопрокат
2,Контргайка 40,,121.48,Армасети Нск (383) 209-56-40,,Новосибирск,40,Контргайка,Металлопрокат
0,Контргайка 50,,158.22,Армасети Мск (495) 137-58-03,,Москва,50,Контргайка,Металлопрокат
1,Контргайка 50,,158.22,Армасети Екб (343) 226-09-76,,Екатеринбург,50,Контргайка,Металлопрокат
2,Контргайка 50,,158.22,Армасети Нск (383) 209-56-40,,Новосибирск,50,Контргайка,Металлопрокат
0,Контргайка 80,,534.06,Армасети Нск (383) 209-56-40,,Новосибирск,80,Контргайка,Металлопрокат
0,Контргайка 100,,980.0,Армасети Нск (383) 209-56-40,,Новосибирск,100,Контргайка,Металлопрокат
