,Наименование,Марка стали,"Цена за 1шт., руб. с НДС",Поставщик,Поставщик.1,Город,Размер,Подраздел,Раздел
0,Контргайка оцинк. 15,,43.8,Армасети Мск (495) 137-58-03,,Москва,15,Контргайка оцинк.,Металлопрокат
1,Контргайка оцинк. 15,,43.8,Армасети Нск (383) 209-56-40,,Новосибирск,15,Контргайка оцинк.,Металлопрокат
0,Контргайка оцинк. 20,Чугун,18.8,Армасети Нск (383) 209-56-40,,Новосибирск,20,Контргайка оцинк.,Металлопрокат
1,Контргайка оцинк. 20,,56.3,Армасети Мск (495) 137-58-03,,Москва,20,Контргайка оцинк.,Металлопрокат
2,Контргайка оцинк. 20,,56.3,Армасети Нск (383) 209-56-40,,Новосибирск,20,Контргайка оцинк.,Металлопрокат
0,Контргайка оцинк. 25,,68.8,Армасети Мск (495) 137-58-03,,Москва,25,Контргайка оцинк.,Металлопрокат
1,Контргайка оцинк. 25,,68.8,Армасети Нск (383) 209-56-40,,Новосибирск,25,Контргайка оцинк.,Металлопрокат
2,Контргайка оцинк. 25,Чугун,93.62,Армасети Нск (383) 209-56-40,,Новосибирск,25,Контргайка оцинк.,Металлопрокат
0,Контргайка оцинк. 32,Чугун,31.3,Армасети Нск (383) 209-56-40,,Новосибирск,32,Контргайка оцинк.,Металлопрокат
1,Контргайка оцинк. 32,,112.5,Армасети Мск (495) 137-58-03,,Москва,32,Контргайка оцинк.,Металлопрокат
2,Контргайка оцинк. 32,,112.5,Армасети Нск (383) 209-56-40,,Новосибирск,32,Контргайка оцинк.,Металлопрокат
0,Контргайка оцинк. 40,Чугун,36.5,Армасети Нск (383) 209-56-40,,Новосибирск,40,Контргайка оцинк.,Металлопрокат
1,Контргайка оцинк. 40,,118.8,Армасети Мск (495) 137-58-03,,Москва,40,Контргайка оцинк.,Металлопрокат
2,Контргайка оцинк. 40,,118.8,Армасети Нск (383) 209-56-40,,Новосибирск,40,Контргайка оцинк.,Металлопрокат
0,Контргайка оцинк. 50,Чугун,81.3,Армасети Нск (383) 209-56-40,,Новосибирск,50,Контргайка оцинк.,Металлопрокат
1,Контргайка оцинк. 50,,150.0,Армасети Мск (495) 137-58-03,,Москва,50,Контргайка оцинк.,Металлопрокат
2,Контргайка оцинк. 50,,150.0,Армасети Нск (383) 209-56-40,,Новосибирск,50,Контргайка оцинк.,Металлопрокат
0,Контргайка оцинк. 80,,787.5,Армасети Мск (495) 137-58-03,,Москва,80,Контргайка оцинк.,Металлопрокат
1,Контргайка оцинк. 80,,787.5,Армасети Нск (383) 209-56-40,,Новосибирск,80,Контргайка оцинк.,Металлопрокат
