,Наименование,Марка стали,"Цена за 1шт., руб. с НДС",Поставщик,Поставщик.1,Город,Размер,Подраздел,Раздел
0,Кран пробковый 50 10кгс/см2 (1МПа) фланц. имп. 11ч8бк L=170мм,Чугун,3 000.00,Армасети Екб (343) 226-09-76,,Екатеринбург,50,Кран пробковый,Металлопрокат
1,Кран пробковый 50 10кгс/см2 (1МПа) фланц. имп. 11ч8бк L=170мм,Чугун,3 000.00,Армасети Нск (383) 209-56-40,,Новосибирск,50,Кран пробковый,Металлопрокат
2,Кран пробковый 50 6кгс/см2 (0.6МПа) КП-05-00-00А,,3 900.00,Стройбаза Мск (921) 835-44-88 доб.,,Москва,50,Кран пробковый,Металлопрокат
3,Кран пробковый 50 6кгс/см2 (0.6МПа) КП-05-00-00А,,3 900.00,Стройбаза Чер (921) 835-44-88 доб.,,Череповец,50,Кран пробковый,Металлопрокат
0,Кран пробковый 65 10кгс/см2 (1МПа) сальн. фланц. 11ч8бк,Чугун,3 960.00,Армасети Мск (495) 137-58-03,,Москва,65,Кран пробковый,Металлопрокат
1,Кран пробковый 65 10кгс/см2 (1МПа) сальн. фланц. 11ч8бк,Чугун,3 960.00,Армасети Екб (343) 226-09-76,,Екатеринбург,65,Кран пробковый,Металлопрокат
0,Кран пробковый 150 10кгс/см2 (1МПа) фланц. имп. 11ч8бк L=400мм,Чугун,16 740.00,Армасети Мск (495) 137-58-03,,Москва,150,Кран пробковый,Металлопрокат
1,Кран пробковый 150 10кгс/см2 (1МПа) фланц. имп. 11ч8бк L=400мм,Чугун,16 740.00,Армасети Екб (343) 226-09-76,,Екатеринбург,150,Кран пробковый,Металлопрокат
0,Кран пробковый 250 10кгс/см2 (1МПа) фланц. имп. 11ч8бк L=535мм,Чугун,90 000.00,Армасети Мск (495) 137-58-03,,Москва,250,Кран пробковый,Металлопрокат
1,Кран пробковый 250 10кгс/см2 (1МПа) фланц. имп. 11ч8бк L=535мм,Чугун,90 000.00,Армасети Нск (383) 209-56-40,,Новосибирск,250,Кран пробковый,Металлопрокат
