,Наименование,Марка стали,"Цена за 1шт., руб. с НДС",Поставщик,Поставщик.1,Город,Размер,Подраздел,Раздел
0,Кран шаровый 10 16кгс/см2 (1.6МПа) фланцевые 11нж01пф Россия,,звоните,РусФитинг Мск (926) 630-36-74,,Москва,10,Кран шаровый,Металлопрокат
1,Кран шаровый 10 16кгс/см2 (1.6МПа) приварные 11нж01пп Россия,,звоните,РусФитинг Мск (926) 630-36-74,,Москва,10,Кран шаровый,Металлопрокат
2,Кран шаровый 10 16кгс/см2 (1.6МПа) муфтовые 11нж01пм Россия,,звоните,РусФитинг Мск (926) 630-36-74,,Москва,10,Кран шаровый,Металлопрокат
3,Кран шаровый 10 16кгс/см2 (1.6МПа) штуцерно-ниппельные 11нж01пш Россия,,звоните,РусФитинг Мск (926) 630-36-74,,Москва,10,Кран шаровый,Металлопрокат
4,Кран шаровый 10 25кгс/см2 (2.5МПа) фланцевые 11нж01пф Россия,,звоните,РусФитинг Мск (926) 630-36-74,,Москва,10,Кран шаровый,Металлопрокат
5,Кран шаровый 10 25кгс/см2 (2.5МПа) приварные 11нж01пп Россия,,звоните,РусФитинг Мск (926) 630-36-74,,Москва,10,Кран шаровый,Металлопрокат
6,Кран шаровый 10 25кгс/см2 (2.5МПа) муфтовые 11нж01пм Россия,,звоните,РусФитинг Мск (926) 630-36-74,,Москва,10,Кран шаровый,Металлопрокат
7,Кран шаровый 10 25кгс/см2 (2.5МПа) штуцерно-ниппельные 11нж01пш Россия,,звоните,РусФитинг Мск (926) 630-36-74,,Москва,10,Кран шаровый,Металлопрокат
8,Кран шаровый 10 40кгс/см2 (4МПа) фланцевые 11нж01пф Россия,,звоните,РусФитинг Мск (926) 630-36-74,,Москва,10,Кран шаровый,Металлопрокат
9,Кран шаровый 10 40кгс/см2 (4МПа) приварные 11нж01пп Россия,,звоните,РусФитинг Мск (926) 630-36-74,,Москва,10,Кран шаровый,Металлопрокат
10,Кран шаровый 10 40кгс/см2 (4МПа) муфтовые 11нж01пм Россия,,звоните,РусФитинг Мск (926) 630-36-74,,Москва,10,Кран шаровый,Металлопрокат
11,Кран шаровый 10 40кгс/см2 (4МПа) штуцерно-ниппельные 11нж01пш Россия,,звоните,РусФитинг Мск (926) 630-36-74,,Москва,10,Кран шаровый,Металлопрокат
12,Кран шаровый 10 63кгс/см2 (6.3МПа) фланцевые 11нж01пф Россия,,звоните,РусФитинг Мск (926) 630-36-74,,Москва,10,Кран шаровый,Металлопрокат
13,Кран шаровый 10 63кгс/см2 (6.3МПа) приварные 11нж01пп Россия,,звоните,РусФитинг Мск (926) 630-36-74,,Москва,10,Кран шаровый,Металлопрокат
14,Кран шаровый 10 63кгс/см2 (6.3МПа) муфтовые 11нж01пм Россия,,звоните,РусФитинг Мск (926) 630-36-74,,Москва,10,Кран шаровый,Металлопрокат
15,Кран шаровый 10 63кгс/см2 (6.3МПа) штуцерно-ниппельные 11нж01пш Россия,,звоните,РусФитинг Мск (926) 630-36-74,,Москва,10,Кран шаровый,Металлопрокат
16,Кран шаровый 10 100кгс/см2 (10МПа) фланцевые 11нж01пф Россия,,звоните,РусФитинг Мск (926) 630-36-74,,Москва,10,Кран шаровый,Металлопрокат
17,Кран шаровый 10 100кгс/см2 (10МПа) приварные 11нж01пп Россия,,звоните,РусФитинг Мск (926) 630-36-74,,Москва,10,Кран шаровый,Металлопрокат
18,Кран шаровый 10 100кгс/см2 (10МПа) муфтовые 11нж01пм Россия,,звоните,РусФитинг Мск (926) 630-36-74,,Москва,10,Кран шаровый,Металлопрокат
19,Кран шаровый 10 100кгс/см2 (10МПа) штуцерно-ниппельные 11нж01пш Россия,,звоните,РусФитинг Мск (926) 630-36-74,,Москва,10,Кран шаровый,Металлопрокат
20,Кран шаровый 10 160кгс/см2 (16МПа) фланцевые 11нж01пф Россия,,звоните,РусФитинг Мск (926) 630-36-74,,Москва,10,Кран шаровый,Металлопрокат
21,Кран шаровый 10 160кгс/см2 (16МПа) приварные 11нж01пп Россия,,звоните,РусФитинг Мск (926) 630-36-74,,Москва,10,Кран шаровый,Металлопрокат
22,Кран шаровый 10 160кгс/см2 (16МПа) муфтовые 11нж01пм Россия,,звоните,РусФитинг Мск (926) 630-36-74,,Москва,10,Кран шаровый,Металлопрокат
23,Кран шаровый 10 160кгс/см2 (16МПа) штуцерно-ниппельные 11нж01пш Россия,,звоните,РусФитинг Мск (926) 630-36-74,,Москва,10,Кран шаровый,Металлопрокат
0,Кран шаровый 15 40кгс/см2 (4МПа) пар фланцевый с металлической оцинкованной ручкой Naval EN 1092-1,P235GH,945.00,Стройбаза Мск (921) 835-44-88 доб.,,Москва,15,Кран шаровый,Металлопрокат
1,Кран шаровый 15 40кгс/см2 (4МПа) пар фланцевый с металлической оцинкованной ручкой Naval EN 1092-1,P235GH,945.00,Стройбаза Чер (921) 835-44-88 доб.,,Череповец,15,Кран шаровый,Металлопрокат
2,Кран шаровый 15 63кгс/см2 (6.3МПа) КШ.Ш.015.063-01 штуцерный,,999.00,Стройбаза Мск (921) 835-44-88 доб.,,Москва,15,Кран шаровый,Металлопрокат
3,Кран шаровый 15 63кгс/см2 (6.3МПа) КШ.Ш.015.063-01 штуцерный,,999.00,Стройбаза Чер (921) 835-44-88 доб.,,Череповец,15,Кран шаровый,Металлопрокат
4,Кран шаровый 15 40кгс/см2 (4МПа) привар LD КШ.Ц.П.015.040.02 С/П,ст20,1 207.00,Армасети Мск (495) 137-58-03,,Москва,15,Кран шаровый,Металлопрокат
5,Кран шаровый 15 40кгс/см2 (4МПа) привар LD КШ.Ц.П.015.040.02 С/П,ст20,1 207.00,Армасети Екб (343) 226-09-76,,Екатеринбург,15,Кран шаровый,Металлопрокат
6,Кран шаровый 15 40кгс/см2 (4МПа) привар LD КШ.Ц.П.015.040.02 С/П,ст20,1 207.00,Армасети Нск (383) 209-56-40,,Новосибирск,15,Кран шаровый,Металлопрокат
7,Кран шаровый 15 40кгс/см2 (4МПа) муфтовый LD КШ.Ц.М.015.040.02 С/П,ст20,1 263.00,Армасети Мск (495) 137-58-03,,Москва,15,Кран шаровый,Металлопрокат
8,Кран шаровый 15 40кгс/см2 (4МПа) муфтовый LD КШ.Ц.М.015.040.02 С/П,ст20,1 263.00,Армасети Екб (343) 226-09-76,,Екатеринбург,15,Кран шаровый,Металлопрокат
9,Кран шаровый 15 40кгс/см2 (4МПа) муфтовый LD КШ.Ц.М.015.040.02 С/П,ст20,1 263.00,Армасети Нск (383) 209-56-40,,Новосибирск,15,Кран шаровый,Металлопрокат
10,Кран шаровый 15 40кгс/см2 (4МПа) муфт. LD КШ.Ц.М.015.040.02,ст20,1 328.00,Армасети Нск (383) 209-56-40,,Новосибирск,15,Кран шаровый,Металлопрокат
11,Кран шаровый 15 40кгс/см2 (4МПа) фланцевый LD КШ.Ц.Ф.015.040.02 С/П,ст20,1 562.00,Армасети Мск (495) 137-58-03,,Москва,15,Кран шаровый,Металлопрокат
12,Кран шаровый 15 40кгс/см2 (4МПа) фланцевый LD КШ.Ц.Ф.015.040.02 С/П,ст20,1 562.00,Армасети Екб (343) 226-09-76,,Екатеринбург,15,Кран шаровый,Металлопрокат
13,Кран шаровый 15 40кгс/см2 (4МПа) фланцевый LD КШ.Ц.Ф.015.040.02 С/П,ст20,1 562.00,Армасети Нск (383) 209-56-40,,Новосибирск,15,Кран шаровый,Металлопрокат
14,Кран шаровый 15 40кгс/см2 (4МПа) муфтовый Naval ВР,,2 755.15,Армасети Нск (383) 209-56-40,,Новосибирск,15,Кран шаровый,Металлопрокат
15,Кран шаровый 15 40кгс/см2 (4МПа) фланцевый Naval,,5 988.50,Армасети Нск (383) 209-56-40,,Новосибирск,15,Кран шаровый,Металлопрокат
16,Кран шаровый 15 16кгс/см2 (1.6МПа) фланцевые 11нж01пф Россия,,звоните,РусФитинг Мск (926) 630-36-74,,Москва,15,Кран шаровый,Металлопрокат
17,Кран шаровый 15 16кгс/см2 (1.6МПа) приварные 11нж01пп Россия,,звоните,РусФитинг Мск (926) 630-36-74,,Москва,15,Кран шаровый,Металлопрокат
18,Кран шаровый 15 16кгс/см2 (1.6МПа) муфтовые 11нж01пм Россия,,звоните,РусФитинг Мск (926) 630-36-74,,Москва,15,Кран шаровый,Металлопрокат
19,Кран шаровый 15 16кгс/см2 (1.6МПа) штуцерно-ниппельные 11нж01пш Россия,,звоните,РусФитинг Мск (926) 630-36-74,,Москва,15,Кран шаровый,Металлопрокат
20,Кран шаровый 15 25кгс/см2 (2.5МПа) фланцевые 11нж01пф Россия,,звоните,РусФитинг Мск (926) 630-36-74,,Москва,15,Кран шаровый,Металлопрокат
21,Кран шаровый 15 25кгс/см2 (2.5МПа) приварные 11нж01пп Россия,,звоните,РусФитинг Мск (926) 630-36-74,,Москва,15,Кран шаровый,Металлопрокат
22,Кран шаровый 15 25кгс/см2 (2.5МПа) муфтовые 11нж01пм Россия,,звоните,РусФитинг Мск (926) 630-36-74,,Москва,15,Кран шаровый,Металлопрокат
23,Кран шаровый 15 25кгс/см2 (2.5МПа) штуцерно-ниппельные 11нж01пш Россия,,звоните,РусФитинг Мск (926) 630-36-74,,Москва,15,Кран шаровый,Металлопрокат
24,Кран шаровый 15 40кгс/см2 (4МПа) фланцевые 11нж01пф Россия,,звоните,РусФитинг Мск (926) 630-36-74,,Москва,15,Кран шаровый,Металлопрокат
25,Кран шаровый 15 40кгс/см2 (4МПа) приварные 11нж01пп Россия,,звоните,РусФитинг Мск (926) 630-36-74,,Москва,15,Кран шаровый,Металлопрокат
26,Кран шаровый 15 40кгс/см2 (4МПа) муфтовые 11нж01пм Россия,,звоните,РусФитинг Мск (926) 630-36-74,,Москва,15,Кран шаровый,Металлопрокат
27,Кран шаровый 15 40кгс/см2 (4МПа) штуцерно-ниппельные 11нж01пш Россия,,звоните,РусФитинг Мск (926) 630-36-74,,Москва,15,Кран шаровый,Металлопрокат
28,Кран шаровый 15 63кгс/см2 (6.3МПа) фланцевые 11нж01пф Россия,,звоните,РусФитинг Мск (926) 630-36-74,,Москва,15,Кран шаровый,Металлопрокат
29,Кран шаровый 15 63кгс/см2 (6.3МПа) приварные 11нж01пп Россия,,звоните,РусФитинг Мск (926) 630-36-74,,Москва,15,Кран шаровый,Металлопрокат
30,Кран шаровый 15 63кгс/см2 (6.3МПа) муфтовые 11нж01пм Россия,,звоните,РусФитинг Мск (926) 630-36-74,,Москва,15,Кран шаровый,Металлопрокат
31,Кран шаровый 15 63кгс/см2 (6.3МПа) штуцерно-ниппельные 11нж01пш Россия,,звоните,РусФитинг Мск (926) 630-36-74,,Москва,15,Кран шаровый,Металлопрокат
32,Кран шаровый 15 100кгс/см2 (10МПа) фланцевые 11нж01пф Россия,,звоните,РусФитинг Мск (926) 630-36-74,,Москва,15,Кран шаровый,Металлопрокат
33,Кран шаровый 15 100кгс/см2 (10МПа) приварные 11нж01пп Россия,,звоните,РусФитинг Мск (926) 630-36-74,,Москва,15,Кран шаровый,Металлопрокат
