,Наименование,Марка стали,"Цена за 1шт., руб. с НДС",Поставщик,Поставщик.1,Город,Размер,Подраздел,Раздел
0,Муфта 15,,23.0,МеталлСервисГрупп Ива (4932) 930-330,,Иваново,15,Муфта,Металлопрокат
1,Муфта 15,,23.0,МеталлСервисГрупп Мск (4932) 930-330,,Москва,15,Муфта,Металлопрокат
2,Муфта 15,,30.2,Армасети Мск (495) 137-58-03,,Москва,15,Муфта,Металлопрокат
3,Муфта 15,,30.2,Армасети Екб (343) 226-09-76,,Екатеринбург,15,Муфта,Металлопрокат
4,Муфта 15,,30.2,Армасети Нск (383) 209-56-40,,Новосибирск,15,Муфта,Металлопрокат
5,Муфта 15 с фаской,,37.26,Армасети Нск (383) 209-56-40,,Новосибирск,15,Муфта,Металлопрокат
0,Муфта 20 прямая,,19.15,МеталлСервисГрупп Ива (4932) 930-330,,Иваново,20,Муфта,Металлопрокат
1,Муфта 20 прямая,,19.15,МеталлСервисГрупп Мск (4932) 930-330,,Москва,20,Муфта,Металлопрокат
2,Муфта 20,,35.5,Армасети Мск (495) 137-58-03,,Москва,20,Муфта,Металлопрокат
3,Муфта 20,,35.5,Армасети Екб (343) 226-09-76,,Екатеринбург,20,Муфта,Металлопрокат
4,Муфта 20,,35.5,Армасети Нск (383) 209-56-40,,Новосибирск,20,Муфта,Металлопрокат
5,Муфта 20 с фаской,,36.47,Армасети Нск (383) 209-56-40,,Новосибирск,20,Муфта,Металлопрокат
6,Муфта 20 никелир.,,269.19,Армасети Екб (343) 226-09-76,,Екатеринбург,20,Муфта,Металлопрокат
7,Муфта 20 никелир.,,269.19,Армасети Нск (383) 209-56-40,,Новосибирск,20,Муфта,Металлопрокат
0,Муфта 20х15 никелир.,,88.0,Армасети Нск (383) 209-56-40,,Новосибирск,20х15,Муфта,Металлопрокат
0,Муфта 25,,58.88,Армасети Екб (343) 226-09-76,,Екатеринбург,25,Муфта,Металлопрокат
1,Муфта 25,,58.88,Армасети Нск (383) 209-56-40,,Новосибирск,25,Муфта,Металлопрокат
2,Муфта 25 с фаской,,62.1,Армасети Екб (343) 226-09-76,,Екатеринбург,25,Муфта,Металлопрокат
3,Муфта 25 с фаской,,62.1,Армасети Нск (383) 209-56-40,,Новосибирск,25,Муфта,Металлопрокат
4,Муфта 25 никелир.,,167.02,Армасети Нск (383) 209-56-40,,Новосибирск,25,Муфта,Металлопрокат
0,Муфта 25х20 никелир.,,149.0,Армасети Екб (343) 226-09-76,,Екатеринбург,25х20,Муфта,Металлопрокат
0,Муфта 32,,59.97,Армасети Мск (495) 137-58-03,,Москва,32,Муфта,Металлопрокат
1,Муфта 32,,59.97,Армасети Екб (343) 226-09-76,,Екатеринбург,32,Муфта,Металлопрокат
2,Муфта 32,,59.97,Армасети Нск (383) 209-56-40,,Новосибирск,32,Муфта,Металлопрокат
3,Муфта 32 с фаской,,60.47,Армасети Нск (383) 209-56-40,,Новосибирск,32,Муфта,Металлопрокат
4,Муфта 32 никелир.,,192.6,Армасети Нск (383) 209-56-40,,Новосибирск,32,Муфта,Металлопрокат
0,Муфта 32х25 никелир.,,207.4,Армасети Нск (383) 209-56-40,,Новосибирск,32х25,Муфта,Металлопрокат
0,Муфта 40,,136.04,Армасети Мск (495) 137-58-03,,Москва,40,Муфта,Металлопрокат
1,Муфта 40,,136.04,Армасети Екб (343) 226-09-76,,Екатеринбург,40,Муфта,Металлопрокат
2,Муфта 40,,136.04,Армасети Нск (383) 209-56-40,,Новосибирск,40,Муфта,Металлопрокат
3,Муфта 40 с фаской,,204.93,Армасети Екб (343) 226-09-76,,Екатеринбург,40,Муфта,Металлопрокат
4,Муфта 40 с фаской,,204.93,Армасети Нск (383) 209-56-40,,Новосибирск,40,Муфта,Металлопрокат
5,Муфта 40 никелир.,,342.6,Армасети Нск (383) 209-56-40,,Новосибирск,40,Муфта,Металлопрокат
0,Муфта 50,,182.17,Армасети Екб (343) 226-09-76,,Екатеринбург,50,Муфта,Металлопрокат
1,Муфта 50,,182.17,Армасети Нск (383) 209-56-40,,Новосибирск,50,Муфта,Металлопрокат
2,Муфта 50 с фаской,,218.28,Армасети Нск (383) 209-56-40,,Новосибирск,50,Муфта,Металлопрокат
0,Муфта 65,,512.62,Армасети Нск (383) 209-56-40,,Новосибирск,65,Муфта,Металлопрокат
0,Муфта 80,,693.04,Армасети Нск (383) 209-56-40,,Новосибирск,80,Муфта,Металлопрокат
