,Наименование,Марка стали,"Цена за 1шт., руб. с НДС",Поставщик,Поставщик.1,Город,Размер,Подраздел,Раздел
0,Муфта оцинк. 15 с фаской,,32.77,Армасети Нск (383) 209-56-40,,Новосибирск,15,Муфта оцинк.,Металлопрокат
1,Муфта оцинк. 15,,37.5,Армасети Мск (495) 137-58-03,,Москва,15,Муфта оцинк.,Металлопрокат
2,Муфта оцинк. 15,,37.5,Армасети Нск (383) 209-56-40,,Новосибирск,15,Муфта оцинк.,Металлопрокат
0,Муфта оцинк. 20,,43.8,Армасети Мск (495) 137-58-03,,Москва,20,Муфта оцинк.,Металлопрокат
1,Муфта оцинк. 20,Чугун,43.8,Армасети Нск (383) 209-56-40,,Новосибирск,20,Муфта оцинк.,Металлопрокат
2,Муфта оцинк. 20,,43.8,Армасети Нск (383) 209-56-40,,Новосибирск,20,Муфта оцинк.,Металлопрокат
3,Муфта оцинк. 20 с фаской,,44.67,Армасети Нск (383) 209-56-40,,Новосибирск,20,Муфта оцинк.,Металлопрокат
0,Муфта оцинк. 25,,68.8,Армасети Мск (495) 137-58-03,,Москва,25,Муфта оцинк.,Металлопрокат
1,Муфта оцинк. 25,,68.8,Армасети Нск (383) 209-56-40,,Новосибирск,25,Муфта оцинк.,Металлопрокат
2,Муфта оцинк. 25 с фаской,,70.72,Армасети Нск (383) 209-56-40,,Новосибирск,25,Муфта оцинк.,Металлопрокат
0,Муфта оцинк. 25х15 ВВ,Чугун,219.71,Армасети Нск (383) 209-56-40,,Новосибирск,25х15,Муфта оцинк.,Металлопрокат
0,Муфта оцинк. 25х20 ВВ,Чугун,88.45,Армасети Нск (383) 209-56-40,,Новосибирск,25х20,Муфта оцинк.,Металлопрокат
0,Муфта оцинк. 32 с фаской,,62.47,Армасети Нск (383) 209-56-40,,Новосибирск,32,Муфта оцинк.,Металлопрокат
1,Муфта оцинк. 32,,73.8,Армасети Мск (495) 137-58-03,,Москва,32,Муфта оцинк.,Металлопрокат
2,Муфта оцинк. 32,,73.8,Армасети Нск (383) 209-56-40,,Новосибирск,32,Муфта оцинк.,Металлопрокат
3,Муфта оцинк. 32,Чугун,78.25,Армасети Нск (383) 209-56-40,,Новосибирск,32,Муфта оцинк.,Металлопрокат
0,Муфта оцинк. 32х20 ВВ,Чугун,168.8,Армасети Нск (383) 209-56-40,,Новосибирск,32х20,Муфта оцинк.,Металлопрокат
0,Муфта оцинк. 40,,150.0,Армасети Мск (495) 137-58-03,,Москва,40,Муфта оцинк.,Металлопрокат
1,Муфта оцинк. 40,,150.0,Армасети Нск (383) 209-56-40,,Новосибирск,40,Муфта оцинк.,Металлопрокат
0,Муфта оцинк. 40х25 ВВ,Чугун,206.3,Армасети Нск (383) 209-56-40,,Новосибирск,40х25,Муфта оцинк.,Металлопрокат
0,Муфта оцинк. 40х32 ВВ,Чугун,206.3,Армасети Мск (495) 137-58-03,,Москва,40х32,Муфта оцинк.,Металлопрокат
1,Муфта оцинк. 40х32 ВВ,Чугун,206.3,Армасети Нск (383) 209-56-40,,Новосибирск,40х32,Муфта оцинк.,Металлопрокат
0,Муфта оцинк. 50,Чугун,162.5,Армасети Нск (383) 209-56-40,,Новосибирск,50,Муфта оцинк.,Металлопрокат
1,Муфта оцинк. 50,,181.3,Армасети Мск (495) 137-58-03,,Москва,50,Муфта оцинк.,Металлопрокат
2,Муфта оцинк. 50,,181.3,Армасети Нск (383) 209-56-40,,Новосибирск,50,Муфта оцинк.,Металлопрокат
0,Муфта оцинк. 65,,500.0,Армасети Нск (383) 209-56-40,,Новосибирск,65,Муфта оцинк.,Металлопрокат
0,Муфта оцинк. 80,,1 375.00,Армасети Мск (495) 137-58-03,,Москва,80,Муфта оцинк.,Металлопрокат
1,Муфта оцинк. 80,,1 375.00,Армасети Нск (383) 209-56-40,,Новосибирск,80,Муфта оцинк.,Металлопрокат
0,Муфта оцинк. 100,,1 581.30,Армасети Нск (383) 209-56-40,,Новосибирск,100,Муфта оцинк.,Металлопрокат
