,Наименование,"Цена за 1шт., руб. с НДС",Поставщик,Поставщик.1,Город,Размер,Подраздел,Раздел
0,Муфта ПНД 20 PN 16 SDR 11 ПЭ 100 электросварная Type A TEGA,181.4,Сантехкомплект Мск (495) 645-00-00,,Москва,20,Муфта ПНД,Металлопрокат
1,Муфта ПНД 20 PN 16 SDR 11 ПЭ 100 электросварная SMART JOINT EFCL20A,291.2,Сантехкомплект Мск (495) 645-00-00,,Москва,20,Муфта ПНД,Металлопрокат
2,Муфта ПНД 20 PN 25 SDR 7.4 ПЭ 100 электросварная EUROSTANDARD,344.2,Сантехкомплект Мск (495) 645-00-00,,Москва,20,Муфта ПНД,Металлопрокат
0,Муфта ПНД 20х1/2 PN 25 SDR 7.4 ПЭ 100 электросварная ВР EUROSTANDARD,1 928.60,Сантехкомплект Мск (495) 645-00-00,,Москва,20х1/2,Муфта ПНД,Металлопрокат
0,Муфта ПНД 25 PN 16 SDR 11 ПЭ 100 электросварная Type A TEGA,182.5,Сантехкомплект Мск (495) 645-00-00,,Москва,25,Муфта ПНД,Металлопрокат
1,Муфта ПНД 25 PN 16 SDR 11 ПЭ 100 электросварная SMART JOINT EFCL25A,295.9,Сантехкомплект Мск (495) 645-00-00,,Москва,25,Муфта ПНД,Металлопрокат
2,Муфта ПНД 25 PN 25 SDR 7.4 ПЭ 100 электросварная EUROSTANDARD,440.0,Сантехкомплект Мск (495) 645-00-00,,Москва,25,Муфта ПНД,Металлопрокат
0,Муфта ПНД 25х3/4 PN 25 SDR 7.4 ПЭ 100 электросварная ВР EUROSTANDARD,2 254.30,Сантехкомплект Мск (495) 645-00-00,,Москва,25х3/4,Муфта ПНД,Металлопрокат
0,Муфта ПНД 32 SDR 11 электросварная,184.34,МК Промстройметалл Мск (495) 617-17-17,,Москва,32,Муфта ПНД,Металлопрокат
1,Муфта ПНД 32 PN 16 SDR 11 ПЭ 100 электросварная Type A TEGA,186.7,Сантехкомплект Мск (495) 645-00-00,,Москва,32,Муфта ПНД,Металлопрокат
