,Наименование,"Цена за 1шт., руб. с НДС",Поставщик,Поставщик.1,Город,Размер,Подраздел,Раздел
0,Неразъемное соед. полиэтилен-сталь 32/25 НСПС ПЭ 100 SDR11,180.00,МК Промстройметалл Мск (495) 617-17-17,,Москва,32/25,Неразъемное соед. полиэтилен-сталь,Металлопрокат
1,Неразъемное соед. полиэтилен-сталь 32/25 НСПС ПЭ 100 SDR11,390.00,МК Промстройметалл Мск (495) 617-17-17,,Москва,32/25,Неразъемное соед. полиэтилен-сталь,Металлопрокат
2,Неразъемное соед. полиэтилен-сталь 32/25 НСПС ПЭ 100 SDR11,424.00,МК Промстройметалл Мск (495) 617-17-17,,Москва,32/25,Неразъемное соед. полиэтилен-сталь,Металлопрокат
3,Неразъемное соед. полиэтилен-сталь 32/25 НСПС ПЭ 100 SDR11,457.00,МК Промстройметалл Мск (495) 617-17-17,,Москва,32/25,Неразъемное соед. полиэтилен-сталь,Металлопрокат
4,Неразъемное соед. полиэтилен-сталь 32/25 спигот ПЭ100 SDR11,459.70,Сантехкомплект Мск (495) 645-00-00,,Москва,32/25,Неразъемное соед. полиэтилен-сталь,Металлопрокат
5,Неразъемное соед. полиэтилен-сталь 32/25 1х2 Цокольное ЦНСПС ПЭ 100 SDR11 с футляром ПЭ 110 L-0.6м,1 700.00,МК Промстройметалл Мск (495) 617-17-17,,Москва,32/25,Неразъемное соед. полиэтилен-сталь,Металлопрокат
6,Неразъемное соед. полиэтилен-сталь 32/25 1.5х2 Цокольное ЦНСПС ПЭ 100 SDR11 с футляром ПЭ 110 L-0.6м,1 900.00,МК Промстройметалл Мск (495) 617-17-17,,Москва,32/25,Неразъемное соед. полиэтилен-сталь,Металлопрокат
7,Неразъемное соед. полиэтилен-сталь 32/25 2х2 Цокольное ЦНСПС ПЭ 100 SDR11 с футляром ПЭ 110 L-0.6м,2 100.00,МК Промстройметалл Мск (495) 617-17-17,,Москва,32/25,Неразъемное соед. полиэтилен-сталь,Металлопрокат
8,Неразъемное соед. полиэтилен-сталь 32/25 1х2 Цокольное ЦНСПС ПЭ 100 SDR11 с футляром d57 L-0.8 м,2 300.00,МК Промстройметалл Мск (495) 617-17-17,,Москва,32/25,Неразъемное соед. полиэтилен-сталь,Металлопрокат
9,Неразъемное соед. полиэтилен-сталь 32/25 1.5х2 Цокольное ЦНСПС ПЭ 100 SDR11 с футляром d57 L-0.8 м,2 500.00,МК Промстройметалл Мск (495) 617-17-17,,Москва,32/25,Неразъемное соед. полиэтилен-сталь,Металлопрокат
10,Неразъемное соед. полиэтилен-сталь 32/25 1х2.1 Цокольное ЦНСПС ПЭ 100 SDR11 с футляром d57 L-1.35 м,2 600.00,МК Промстройметалл Мск (495) 617-17-17,,Москва,32/25,Неразъемное соед. полиэтилен-сталь,Металлопрокат
11,Неразъемное соед. полиэтилен-сталь 32/25 1.5х2.1 Цокольное ЦНСПС ПЭ 100 SDR11 с футляром d57 L-1.35 м,2 800.00,МК Промстройметалл Мск (495) 617-17-17,,Москва,32/25,Неразъемное соед. полиэтилен-сталь,Металлопрокат
12,Неразъемное соед. полиэтилен-сталь 32/25 2х2 Цокольное ЦНСПС ПЭ 100 SDR11 с футляром d57 L-0.8 м,2 900.00,МК Промстройметалл Мск (495) 617-17-17,,Москва,32/25,Неразъемное соед. полиэтилен-сталь,Металлопрокат
13,Неразъемное соед. полиэтилен-сталь 32/25 2х2.1 Цокольное ЦНСПС ПЭ 100 SDR11 с футляром d57 L-1.35 м,3 000.00,МК Промстройметалл Мск (495) 617-17-17,,Москва,32/25,Неразъемное соед. полиэтилен-сталь,Металлопрокат
0,Неразъемное соед. полиэтилен-сталь 32/32 НСПС ПЭ 100 SDR11,370.0,МК Промстройметалл Мск (495) 617-17-17,,Москва,32/32,Неразъемное соед. полиэтилен-сталь,Металлопрокат
0,Неразъемное соед. полиэтилен-сталь 40/32 НСПС ПЭ 100 SDR11,240.0,МК Промстройметалл Мск (495) 617-17-17,,Москва,40/32,Неразъемное соед. полиэтилен-сталь,Металлопрокат
1,Неразъемное соед. полиэтилен-сталь 40/32 спигот ПЭ100 SDR11,648.6,Сантехкомплект Мск (495) 645-00-00,,Москва,40/32,Неразъемное соед. полиэтилен-сталь,Металлопрокат
0,Неразъемное соед. полиэтилен-сталь 40/38 НСПС ПЭ 100 SDR11,370.0,МК Промстройметалл Мск (495) 617-17-17,,Москва,40/38,Неразъемное соед. полиэтилен-сталь,Металлопрокат
0,Неразъемное соед. полиэтилен-сталь 50/40 НСПС ПЭ 100 SDR11,310.0,МК Промстройметалл Мск (495) 617-17-17,,Москва,50/40,Неразъемное соед. полиэтилен-сталь,Металлопрокат
1,Неразъемное соед. полиэтилен-сталь 50/40 спигот ПЭ100 SDR11,690.1,Сантехкомплект Мск (495) 645-00-00,,Москва,50/40,Неразъемное соед. полиэтилен-сталь,Металлопрокат
2,Неразъемное соед. полиэтилен-сталь 50/40 спигот ПЭ100 SDR11,736.0,Сантехкомплект Мск (495) 645-00-00,,Москва,50/40,Неразъемное соед. полиэтилен-сталь,Металлопрокат
0,Неразъемное соед. полиэтилен-сталь 63/57 НСПС ПЭ 100 SDR11,390.00,МК Промстройметалл Мск (495) 617-17-17,,Москва,63/57,Неразъемное соед. полиэтилен-сталь,Металлопрокат
