,Наименование,Марка стали,"Цена за 1шт., руб. с НДС",Поставщик,Поставщик.1,Город,Размер,Подраздел,Раздел
0,Ниппель 15 никелир.,,45.85,Армасети Нск (383) 209-56-40,,Новосибирск,15,Ниппель,Металлопрокат
0,Ниппель 15х10 никелир.,,64.2,Армасети Нск (383) 209-56-40,,Новосибирск,15х10,Ниппель,Металлопрокат
0,Ниппель 20 никелир.,,70.7,Армасети Нск (383) 209-56-40,,Новосибирск,20,Ниппель,Металлопрокат
0,Ниппель 20х15 никелир.,,66.74,Армасети Нск (383) 209-56-40,,Новосибирск,20х15,Ниппель,Металлопрокат
0,Ниппель 25 никелир.,,197.48,Армасети Нск (383) 209-56-40,,Новосибирск,25,Ниппель,Металлопрокат
0,Ниппель 25х15 никелир.,,115.0,Армасети Нск (383) 209-56-40,,Новосибирск,25х15,Ниппель,Металлопрокат
0,Ниппель 25х20 никель,,90.0,МеталлСервисГрупп Ива (4932) 930-330,,Иваново,25х20,Ниппель,Металлопрокат
1,Ниппель 25х20 никель,,90.0,МеталлСервисГрупп Мск (4932) 930-330,,Москва,25х20,Ниппель,Металлопрокат
2,Ниппель 25х20 никелир.,,173.18,Армасети Екб (343) 226-09-76,,Екатеринбург,25х20,Ниппель,Металлопрокат
3,Ниппель 25х20 никелир.,,173.18,Армасети Нск (383) 209-56-40,,Новосибирск,25х20,Ниппель,Металлопрокат
0,Ниппель 32х20 никелир.,,195.4,Армасети Нск (383) 209-56-40,,Новосибирск,32х20,Ниппель,Металлопрокат
0,Ниппель 32х25 никелир.,,197.64,Армасети Нск (383) 209-56-40,,Новосибирск,32х25,Ниппель,Металлопрокат
0,Ниппель 40х32 никелир.,,294.3,Армасети Нск (383) 209-56-40,,Новосибирск,40х32,Ниппель,Металлопрокат
0,Ниппель 50 никелир.,,547.2,Армасети Нск (383) 209-56-40,,Новосибирск,50,Ниппель,Металлопрокат
0,Ниппель 50х32 никелир.,,421.4,Армасети Нск (383) 209-56-40,,Новосибирск,50х32,Ниппель,Металлопрокат
