,Наименование,"Цена за 1шт., руб. с НДС",Поставщик,Поставщик.1,Город,Размер,Подраздел,Раздел
0,Опора ППУ 25х3.2/110 ПЭ-1 неподвижная,5 617.00,СКТК Мск (495) 981-41-40,,Москва,25х3.2/110,Опора ППУ,Металлопрокат
0,Опора ППУ 25х3.2/125 ПЭ-1 неподвижная,5 866.00,СКТК Мск (495) 981-41-40,,Москва,25х3.2/125,Опора ППУ,Металлопрокат
0,Опора ППУ 32х3.2/110 ПЭ-1 неподвижная,5 783.00,СКТК Мск (495) 981-41-40,,Москва,32х3.2/110,Опора ППУ,Металлопрокат
0,Опора ППУ 32х3.2/125 ОЦ-1 неподвижная,6 032.00,СКТК Мск (495) 981-41-40,,Москва,32х3.2/125,Опора ППУ,Металлопрокат
1,Опора ППУ 32х3.2/125 ПЭ-1 неподвижная,6 032.00,СКТК Мск (495) 981-41-40,,Москва,32х3.2/125,Опора ППУ,Металлопрокат
0,Опора ППУ 40х3.5/125 ОЦ-1 неподвижная,6 217.00,СКТК Мск (495) 981-41-40,,Москва,40х3.5/125,Опора ППУ,Металлопрокат
1,Опора ППУ 40х3.5/125 ПЭ-1 неподвижная,6 217.00,СКТК Мск (495) 981-41-40,,Москва,40х3.5/125,Опора ППУ,Металлопрокат
0,Опора ППУ 57х3.5/125 ПЭ-1 неподвижная,6 311.00,СКТК Мск (495) 981-41-40,,Москва,57х3.5/125,Опора ППУ,Металлопрокат
0,Опора ППУ 57х3.5/140 ОЦ-1 неподвижная,7 676.00,СКТК Мск (495) 981-41-40,,Москва,57х3.5/140,Опора ППУ,Металлопрокат
0,Опора ППУ 57х4/125 ПЭ-1 неподвижная,6 459.00,СКТК Мск (495) 981-41-40,,Москва,57х4/125,Опора ППУ,Металлопрокат
0,Опора ППУ 57х4/140 ОЦ-1 неподвижная,7 676.00,СКТК Мск (495) 981-41-40,,Москва,57х4/140,Опора ППУ,Металлопрокат
0,Опора ППУ 76х3.5/140 ПЭ-1 неподвижная,7 728.00,СКТК Мск (495) 981-41-40,,Москва,76х3.5/140,Опора ППУ,Металлопрокат
0,Опора ППУ 76х3.5/160 ОЦ-1 неподвижная,9 139.00,СКТК Мск (495) 981-41-40,,Москва,76х3.5/160,Опора ППУ,Металлопрокат
0,Опора ППУ 76х4/140 ПЭ-1 неподвижная,7 931.00,СКТК Мск (495) 981-41-40,,Москва,76х4/140,Опора ППУ,Металлопрокат
0,Опора ППУ 76х4/160 ОЦ-1 неподвижная,9 139.00,СКТК Мск (495) 981-41-40,,Москва,76х4/160,Опора ППУ,Металлопрокат
0,Опора ППУ 89х4/160 ПЭ-1 неподвижная,9 072.00,СКТК Мск (495) 981-41-40,,Москва,89х4/160,Опора ППУ,Металлопрокат
0,Опора ППУ 89х4/180 ОЦ-1 неподвижная,10 745.00,СКТК Мск (495) 981-41-40,,Москва,89х4/180,Опора ППУ,Металлопрокат
0,Опора ППУ 89х5/160 ПЭ-1 неподвижная,9 586.00,СКТК Мск (495) 981-41-40,,Москва,89х5/160,Опора ППУ,Металлопрокат
0,Опора ППУ 89х5/180 ОЦ-1 неподвижная,10 745.00,СКТК Мск (495) 981-41-40,,Москва,89х5/180,Опора ППУ,Металлопрокат
0,Опора ППУ 108х4/180 ПЭ-1 неподвижная,10 592.00,СКТК Мск (495) 981-41-40,,Москва,108х4/180,Опора ППУ,Металлопрокат
0,Опора ППУ 108х4/200 ОЦ-1 неподвижная,12 337.00,СКТК Мск (495) 981-41-40,,Москва,108х4/200,Опора ППУ,Металлопрокат
0,Опора ППУ 108х5/180 ПЭ-1 неподвижная,11 893.00,СКТК Мск (495) 981-41-40,,Москва,108х5/180,Опора ППУ,Металлопрокат
0,Опора ППУ 108х5/200 ОЦ-1 неподвижная,12 337.00,СКТК Мск (495) 981-41-40,,Москва,108х5/200,Опора ППУ,Металлопрокат
0,Опора ППУ 114х4/200 ПЭ-1 неподвижная,10 592.00,СКТК Мск (495) 981-41-40,,Москва,114х4/200,Опора ППУ,Металлопрокат
1,Опора ППУ 114х4/200 ОЦ-1 неподвижная,12 337.00,СКТК Мск (495) 981-41-40,,Москва,114х4/200,Опора ППУ,Металлопрокат
0,Опора ППУ 133х4.5/225 ПЭ-1 неподвижная,14 001.00,СКТК Мск (495) 981-41-40,,Москва,133х4.5/225,Опора ППУ,Металлопрокат
1,Опора ППУ 133х4.5/225 ОЦ-1 неподвижная,14 609.00,СКТК Мск (495) 981-41-40,,Москва,133х4.5/225,Опора ППУ,Металлопрокат
0,Опора ППУ 133х5/225 ПЭ-1 неподвижная,14 535.00,СКТК Мск (495) 981-41-40,,Москва,133х5/225,Опора ППУ,Металлопрокат
1,Опора ППУ 133х5/225 ОЦ-1 неподвижная,14 609.00,СКТК Мск (495) 981-41-40,,Москва,133х5/225,Опора ППУ,Металлопрокат
0,Опора ППУ 159х4.5/250 ПЭ-1 неподвижная,17 465.00,СКТК Мск (495) 981-41-40,,Москва,159х4.5/250,Опора ППУ,Металлопрокат
1,Опора ППУ 159х4.5/250 ОЦ-1 неподвижная,18 128.00,СКТК Мск (495) 981-41-40,,Москва,159х4.5/250,Опора ППУ,Металлопрокат
0,Опора ППУ 159х5/250 ПЭ-1 неподвижная,17 956.00,СКТК Мск (495) 981-41-40,,Москва,159х5/250,Опора ППУ,Металлопрокат
1,Опора ППУ 159х5/250 ОЦ-1 неподвижная,18 128.00,СКТК Мск (495) 981-41-40,,Москва,159х5/250,Опора ППУ,Металлопрокат
0,Опора ППУ 219х6/315 ПЭ-1 неподвижная,26 596.00,СКТК Мск (495) 981-41-40,,Москва,219х6/315,Опора ППУ,Металлопрокат
1,Опора ППУ 219х6/315 ОЦ-1 неподвижная,26 859.00,СКТК Мск (495) 981-41-40,,Москва,219х6/315,Опора ППУ,Металлопрокат
0,Опора ППУ 219х7/315 ОЦ-1 неподвижная,26 859.00,СКТК Мск (495) 981-41-40,,Москва,219х7/315,Опора ППУ,Металлопрокат
1,Опора ППУ 219х7/315 ПЭ-1 неподвижная,28 349.00,СКТК Мск (495) 981-41-40,,Москва,219х7/315,Опора ППУ,Металлопрокат
0,Опора ППУ 273х7/400 ПЭ-1 неподвижная,40 557.00,СКТК Мск (495) 981-41-40,,Москва,273х7/400,Опора ППУ,Металлопрокат
1,Опора ППУ 273х7/400 ОЦ-1 неподвижная,40 924.00,СКТК Мск (495) 981-41-40,,Москва,273х7/400,Опора ППУ,Металлопрокат
0,Опора ППУ 273х8/400 ОЦ-1 неподвижная,40 924.00,СКТК Мск (495) 981-41-40,,Москва,273х8/400,Опора ППУ,Металлопрокат
1,Опора ППУ 273х8/400 ПЭ-1 неподвижная,43 144.00,СКТК Мск (495) 981-41-40,,Москва,273х8/400,Опора ППУ,Металлопрокат
0,Опора ППУ 325х7/450 ПЭ-1 неподвижная,54 306.00,СКТК Мск (495) 981-41-40,,Москва,325х7/450,Опора ППУ,Металлопрокат
1,Опора ППУ 325х7/450 ОЦ-1 неподвижная,54 715.00,СКТК Мск (495) 981-41-40,,Москва,325х7/450,Опора ППУ,Металлопрокат
0,Опора ППУ 325х8/450 ОЦ-1 неподвижная,54 715.00,СКТК Мск (495) 981-41-40,,Москва,325х8/450,Опора ППУ,Металлопрокат
1,Опора ППУ 325х8/450 ПЭ-1 неподвижная,56 639.00,СКТК Мск (495) 981-41-40,,Москва,325х8/450,Опора ППУ,Металлопрокат
0,Опора ППУ 377х7/500 ОЦ-1 неподвижная,73 583.00,СКТК Мск (495) 981-41-40,,Москва,377х7/500,Опора ППУ,Металлопрокат
1,Опора ППУ 377х7/500 ПЭ-1 неподвижная,73 977.00,СКТК Мск (495) 981-41-40,,Москва,377х7/500,Опора ППУ,Металлопрокат
0,Опора ППУ 377х8/500 ОЦ-1 неподвижная,73 583.00,СКТК Мск (495) 981-41-40,,Москва,377х8/500,Опора ППУ,Металлопрокат
1,Опора ППУ 377х8/500 ПЭ-1 неподвижная,78 013.00,СКТК Мск (495) 981-41-40,,Москва,377х8/500,Опора ППУ,Металлопрокат
0,Опора ППУ 426х7/560 ПЭ-1 неподвижная,82 494.00,СКТК Мск (495) 981-41-40,,Москва,426х7/560,Опора ППУ,Металлопрокат
1,Опора ППУ 426х7/560 ОЦ-1 неподвижная,83 645.00,СКТК Мск (495) 981-41-40,,Москва,426х7/560,Опора ППУ,Металлопрокат
0,Опора ППУ 426х8/560 ОЦ-1 неподвижная,83 645.00,СКТК Мск (495) 981-41-40,,Москва,426х8/560,Опора ППУ,Металлопрокат
1,Опора ППУ 426х8/560 ПЭ-1 неподвижная,86 076.00,СКТК Мск (495) 981-41-40,,Москва,426х8/560,Опора ППУ,Металлопрокат
0,Опора ППУ 530х7/710 ОЦ-1 неподвижная,115 577.00,СКТК Мск (495) 981-41-40,,Москва,530х7/710,Опора ППУ,Металлопрокат
1,Опора ППУ 530х7/710 ПЭ-1 неподвижная,115 577.00,СКТК Мск (495) 981-41-40,,Москва,530х7/710,Опора ППУ,Металлопрокат
0,Опора ППУ 530х8/710 ОЦ-1 неподвижная,115 577.00,СКТК Мск (495) 981-41-40,,Москва,530х8/710,Опора ППУ,Металлопрокат
1,Опора ППУ 530х8/710 ПЭ-1 неподвижная,119 625.00,СКТК Мск (495) 981-41-40,,Москва,530х8/710,Опора ППУ,Металлопрокат
