,Наименование,Марка стали,"Цена за 1шт., руб. с НДС",Поставщик,Поставщик.1,Город,Размер,Подраздел,Раздел
0,Вентиль 15 16кгс/см2 (1.6МПа) фланц. 15с65нж,,2 715.10,Армасети Мск (495) 137-58-03,,Москва,15,Вентиль,Металлопрокат
1,Вентиль 15 16кгс/см2 (1.6МПа) фланц. СИНИЙ РУЛЬ упл. сальник REON Тmax=300°С,,2 875.00,Армасети Нск (383) 209-56-40,,Новосибирск,15,Вентиль,Металлопрокат
2,Вентиль 15 40кгс/см2 (4МПа) фланц. 15с22нж,,3 634.40,Армасети Мск (495) 137-58-03,,Москва,15,Вентиль,Металлопрокат
3,Вентиль 15 40кгс/см2 (4МПа) фланц. 15с22нж,,3 634.40,Армасети Нск (383) 209-56-40,,Новосибирск,15,Вентиль,Металлопрокат
4,Вентиль 15 16кгс/см2 (1.6МПа) фланцевый 15с65нж,,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,15,Вентиль,Металлопрокат
5,Вентиль 15 40кгс/см2 (4МПа) фланцевый 15с22нж,,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,15,Вентиль,Металлопрокат
0,Вентиль 20 16кгс/см2 (1.6МПа) фланц. СИНИЙ РУЛЬ упл. сальник REON Тmax=300°С,,3 302.00,Армасети Нск (383) 209-56-40,,Новосибирск,20,Вентиль,Металлопрокат
1,Вентиль 20 40кгс/см2 (4МПа) фланц. 15с22нж,,3 737.50,Армасети Мск (495) 137-58-03,,Москва,20,Вентиль,Металлопрокат
2,Вентиль 20 40кгс/см2 (4МПа) фланц. 15с22нж,,3 737.50,Армасети Нск (383) 209-56-40,,Новосибирск,20,Вентиль,Металлопрокат
3,Вентиль 20 16кгс/см2 (1.6МПа) фланц. ЧЕРНЫЙ РУЛЬ упл. сильфон REON Тmax=300°С,,7 325.00,Армасети Нск (383) 209-56-40,,Новосибирск,20,Вентиль,Металлопрокат
4,Вентиль 20 16кгс/см2 (1.6МПа) фланцевый 15с65нж,,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,20,Вентиль,Металлопрокат
5,Вентиль 20 40кгс/см2 (4МПа) фланцевый 15с22нж,,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,20,Вентиль,Металлопрокат
0,Вентиль 25 16кгс/см2 (1.6МПа) фланц. 15с65нж,,3 375.00,Армасети Нск (383) 209-56-40,,Новосибирск,25,Вентиль,Металлопрокат
1,Вентиль 25 16кгс/см2 (1.6МПа) фланц. СИНИЙ РУЛЬ упл. сальник REON Тmax=300°С,,3 807.00,Армасети Нск (383) 209-56-40,,Новосибирск,25,Вентиль,Металлопрокат
2,Вентиль 25 16кгс/см2 (1.6МПа) фланц. ЧЕРНЫЙ РУЛЬ упл. сильфон REON Тmax=300°С,,8 590.00,Армасети Нск (383) 209-56-40,,Новосибирск,25,Вентиль,Металлопрокат
3,Вентиль 25 16кгс/см2 (1.6МПа) фланцевый 15с65нж,,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,25,Вентиль,Металлопрокат
4,Вентиль 25 40кгс/см2 (4МПа) фланцевый 15с22нж,,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,25,Вентиль,Металлопрокат
0,Вентиль 32 16кгс/см2 (1.6МПа) фланц. СИНИЙ РУЛЬ упл. сальник REON Тmax=300°С,,5 939.00,Армасети Нск (383) 209-56-40,,Новосибирск,32,Вентиль,Металлопрокат
1,Вентиль 32 16кгс/см2 (1.6МПа) фланцевый 15с65нж,,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,32,Вентиль,Металлопрокат
2,Вентиль 32 40кгс/см2 (4МПа) фланцевый 15с22нж,,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,32,Вентиль,Металлопрокат
0,Вентиль 40 16кгс/см2 (1.6МПа) фланц. 15с65нж,,4 694.60,Армасети Мск (495) 137-58-03,,Москва,40,Вентиль,Металлопрокат
1,Вентиль 40 16кгс/см2 (1.6МПа) фланц. СИНИЙ РУЛЬ упл. сальник REON Тmax=300°С,,7 160.00,Армасети Екб (343) 226-09-76,,Екатеринбург,40,Вентиль,Металлопрокат
2,Вентиль 40 16кгс/см2 (1.6МПа) фланц. СИНИЙ РУЛЬ упл. сальник REON Тmax=300°С,,7 160.00,Армасети Нск (383) 209-56-40,,Новосибирск,40,Вентиль,Металлопрокат
3,Вентиль 40 16кгс/см2 (1.6МПа) фланцевый 15с65нж,,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,40,Вентиль,Металлопрокат
4,Вентиль 40 40кгс/см2 (4МПа) фланцевый 15с22нж,,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,40,Вентиль,Металлопрокат
0,Вентиль 50 16кгс/см2 (1.6МПа) фланц. СИНИЙ РУЛЬ упл. сальник REON Тmax=300°С,,9 824.00,Армасети Нск (383) 209-56-40,,Новосибирск,50,Вентиль,Металлопрокат
1,Вентиль 50 40кгс/см2 (4МПа) фланц. 15с22нж,,10 036.30,Армасети Нск (383) 209-56-40,,Новосибирск,50,Вентиль,Металлопрокат
2,Вентиль 50 16кгс/см2 (1.6МПа) фланц. ЧЕРНЫЙ РУЛЬ упл. сильфон REON Тmax=300°С,,13 888.00,Армасети Нск (383) 209-56-40,,Новосибирск,50,Вентиль,Металлопрокат
3,Вентиль 50 16кгс/см2 (1.6МПа) фланцевый 15с65нж,,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,50,Вентиль,Металлопрокат
4,Вентиль 50 40кгс/см2 (4МПа) фланцевый 15с22нж,,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,50,Вентиль,Металлопрокат
0,Вентиль 65 16кгс/см2 (1.6МПа) фланц. 15с65нж,,7 189.50,Армасети Нск (383) 209-56-40,,Новосибирск,65,Вентиль,Металлопрокат
1,Вентиль 65 16кгс/см2 (1.6МПа) фланц. СИНИЙ РУЛЬ упл. сальник REON Тmax=300°С,,12 654.00,Армасети Нск (383) 209-56-40,,Новосибирск,65,Вентиль,Металлопрокат
2,Вентиль 65 16кгс/см2 (1.6МПа) фланц. ЧЕРНЫЙ РУЛЬ упл. сильфон REON Тmax=300°С,,17 024.00,Армасети Нск (383) 209-56-40,,Новосибирск,65,Вентиль,Металлопрокат
3,Вентиль 65 16кгс/см2 (1.6МПа) фланцевый 15с65нж,,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,65,Вентиль,Металлопрокат
4,Вентиль 65 40кгс/см2 (4МПа) фланцевый 15с22нж,,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,65,Вентиль,Металлопрокат
0,Вентиль 80 16кгс/см2 (1.6МПа) фланц. 15с65нж,,10 465.00,Армасети Мск (495) 137-58-03,,Москва,80,Вентиль,Металлопрокат
1,Вентиль 80 16кгс/см2 (1.6МПа) фланц. СИНИЙ РУЛЬ упл. сальник REON Тmax=300°С,,17 050.00,Армасети Екб (343) 226-09-76,,Екатеринбург,80,Вентиль,Металлопрокат
