,Наименование,Марка стали,"Цена за 1шт., руб. с НДС",Поставщик,Поставщик.1,Город,Размер,Подраздел,Раздел
0,Виброкомпенсатор 15 16кгс/см2 (1.6МПа) муфт. REON Траб.=95°С Тmax=110°С,,1 440.00,Армасети Екб (343) 226-09-76,,Екатеринбург,15,Виброкомпенсатор,Металлопрокат
1,Виброкомпенсатор 15 16кгс/см2 (1.6МПа) муфт. REON Траб.=95°С Тmax=110°С,,1 440.00,Армасети Нск (383) 209-56-40,,Новосибирск,15,Виброкомпенсатор,Металлопрокат
0,Виброкомпенсатор 20 16кгс/см2 (1.6МПа) муфт. REON Траб.=95°С Тmax=110°С,,1 440.00,Армасети Екб (343) 226-09-76,,Екатеринбург,20,Виброкомпенсатор,Металлопрокат
1,Виброкомпенсатор 20 16кгс/см2 (1.6МПа) муфт. REON Траб.=95°С Тmax=110°С,,1 440.00,Армасети Нск (383) 209-56-40,,Новосибирск,20,Виброкомпенсатор,Металлопрокат
0,Виброкомпенсатор 25 16кгс/см2 (1.6МПа) муфт. REON Траб.=95°С Тmax=110°С,,1 629.00,Армасети Екб (343) 226-09-76,,Екатеринбург,25,Виброкомпенсатор,Металлопрокат
1,Виброкомпенсатор 25 16кгс/см2 (1.6МПа) муфт. REON Траб.=95°С Тmax=110°С,,1 629.00,Армасети Нск (383) 209-56-40,,Новосибирск,25,Виброкомпенсатор,Металлопрокат
0,Виброкомпенсатор 32 16кгс/см2 (1.6МПа) муфт. REON Траб.=95°С Тmax=110°С,,1 819.00,Армасети Екб (343) 226-09-76,,Екатеринбург,32,Виброкомпенсатор,Металлопрокат
1,Виброкомпенсатор 32 16кгс/см2 (1.6МПа) фланц. REON Траб.=95°С Тmax=110°С,,2 472.00,Армасети Екб (343) 226-09-76,,Екатеринбург,32,Виброкомпенсатор,Металлопрокат
0,Виброкомпенсатор 40 16кгс/см2 (1.6МПа) муфт. REON Траб.=95°С Тmax=110°С,,2 236.00,Армасети Екб (343) 226-09-76,,Екатеринбург,40,Виброкомпенсатор,Металлопрокат
1,Виброкомпенсатор 40 16кгс/см2 (1.6МПа) муфт. REON Траб.=95°С Тmax=110°С,,2 236.00,Армасети Нск (383) 209-56-40,,Новосибирск,40,Виброкомпенсатор,Металлопрокат
2,Виброкомпенсатор 40 16кгс/см2 (1.6МПа) фланц. REON Траб.=95°С Тmax=110°С,,2 790.00,Армасети Нск (383) 209-56-40,,Новосибирск,40,Виброкомпенсатор,Металлопрокат
0,Виброкомпенсатор 50 16кгс/см2 (1.6МПа) рез. фланц.,,1 488.75,Армасети Мск (495) 137-58-03,,Москва,50,Виброкомпенсатор,Металлопрокат
1,Виброкомпенсатор 50 16кгс/см2 (1.6МПа) рез. фланц.,,1 488.75,Армасети Нск (383) 209-56-40,,Новосибирск,50,Виброкомпенсатор,Металлопрокат
2,Виброкомпенсатор 50 10кгс/см2 (1МПа) резьбовой вн,,2 200.00,МеталлСервисГрупп Ива (4932) 930-330,,Иваново,50,Виброкомпенсатор,Металлопрокат
3,Виброкомпенсатор 50 10кгс/см2 (1МПа) резьбовой вн,,2 200.00,МеталлСервисГрупп Мск (4932) 930-330,,Москва,50,Виброкомпенсатор,Металлопрокат
4,Виброкомпенсатор 50 16кгс/см2 (1.6МПа) муфт. REON Траб.=95°С Тmax=110°С,,2 852.00,Армасети Екб (343) 226-09-76,,Екатеринбург,50,Виброкомпенсатор,Металлопрокат
5,Виброкомпенсатор 50 16кгс/см2 (1.6МПа) муфт. REON Траб.=95°С Тmax=110°С,,2 852.00,Армасети Нск (383) 209-56-40,,Новосибирск,50,Виброкомпенсатор,Металлопрокат
6,Виброкомпенсатор 50 16кгс/см2 (1.6МПа) фланц. REON Траб.=95°С Тmax=110°С,,3 126.00,Армасети Нск (383) 209-56-40,,Новосибирск,50,Виброкомпенсатор,Металлопрокат
0,Виброкомпенсатор 65 16кгс/см2 (1.6МПа) рез. фланц.,,1 868.04,Армасети Мск (495) 137-58-03,,Москва,65,Виброкомпенсатор,Металлопрокат
1,Виброкомпенсатор 65 16кгс/см2 (1.6МПа) рез. фланц.,,1 868.04,Армасети Екб (343) 226-09-76,,Екатеринбург,65,Виброкомпенсатор,Металлопрокат
2,Виброкомпенсатор 65 16кгс/см2 (1.6МПа) рез. фланц.,,1 868.04,Армасети Нск (383) 209-56-40,,Новосибирск,65,Виброкомпенсатор,Металлопрокат
3,Виброкомпенсатор 65 16кгс/см2 (1.6МПа) фланц. REON Траб.=95°С Тmax=110°С,,4 095.00,Армасети Екб (343) 226-09-76,,Екатеринбург,65,Виброкомпенсатор,Металлопрокат
0,Виброкомпенсатор 80 16кгс/см2 (1.6МПа) рез. фланц.,,2 266.16,Армасети Мск (495) 137-58-03,,Москва,80,Виброкомпенсатор,Металлопрокат
1,Виброкомпенсатор 80 16кгс/см2 (1.6МПа) рез. фланц.,,2 266.16,Армасети Екб (343) 226-09-76,,Екатеринбург,80,Виброкомпенсатор,Металлопрокат
2,Виброкомпенсатор 80 16кгс/см2 (1.6МПа) рез. фланц.,,2 266.16,Армасети Нск (383) 209-56-40,,Новосибирск,80,Виброкомпенсатор,Металлопрокат
3,Виброкомпенсатор 80 16кгс/см2 (1.6МПа) фланц. REON Траб.=95°С Тmax=110°С,,4 947.00,Армасети Екб (343) 226-09-76,,Екатеринбург,80,Виброкомпенсатор,Металлопрокат
4,Виброкомпенсатор 80 16кгс/см2 (1.6МПа) фланц. REON Траб.=95°С Тmax=110°С,,4 947.00,Армасети Нск (383) 209-56-40,,Новосибирск,80,Виброкомпенсатор,Металлопрокат
5,Виброкомпенсатор 80 16кгс/см2 (1.6МПа) рез. фланц. NBR,,7 176.00,Армасети Нск (383) 209-56-40,,Новосибирск,80,Виброкомпенсатор,Металлопрокат
0,Виброкомпенсатор 100 10кгс/см2 (1МПа) рез. фланц.,,2 004.08,Армасети Нск (383) 209-56-40,,Новосибирск,100,Виброкомпенсатор,Металлопрокат
1,Виброкомпенсатор 100 16кгс/см2 (1.6МПа) рез. фланц.,,2 521.76,Армасети Мск (495) 137-58-03,,Москва,100,Виброкомпенсатор,Металлопрокат
2,Виброкомпенсатор 100 16кгс/см2 (1.6МПа) рез. фланц.,,2 521.76,Армасети Нск (383) 209-56-40,,Новосибирск,100,Виброкомпенсатор,Металлопрокат
3,Виброкомпенсатор 100 16кгс/см2 (1.6МПа) фланц. REON Траб.=95°С Тmax=110°С,,6 313.00,Армасети Екб (343) 226-09-76,,Екатеринбург,100,Виброкомпенсатор,Металлопрокат
4,Виброкомпенсатор 100 16кгс/см2 (1.6МПа) фланц. REON Траб.=95°С Тmax=110°С,,6 313.00,Армасети Нск (383) 209-56-40,,Новосибирск,100,Виброкомпенсатор,Металлопрокат
0,Виброкомпенсатор 125 16кгс/см2 (1.6МПа) рез. фланц.,,3 906.71,Армасети Мск (495) 137-58-03,,Москва,125,Виброкомпенсатор,Металлопрокат
1,Виброкомпенсатор 125 16кгс/см2 (1.6МПа) рез. фланц.,,3 906.71,Армасети Екб (343) 226-09-76,,Екатеринбург,125,Виброкомпенсатор,Металлопрокат
2,Виброкомпенсатор 125 16кгс/см2 (1.6МПа) рез. фланц.,,3 906.71,Армасети Нск (383) 209-56-40,,Новосибирск,125,Виброкомпенсатор,Металлопрокат
0,Виброкомпенсатор 150 16кгс/см2 (1.6МПа) фланц. REON Траб.=95°С Тmax=110°С,,10 202.00,Армасети Нск (383) 209-56-40,,Новосибирск,150,Виброкомпенсатор,Металлопрокат
0,Виброкомпенсатор 200 10кгс/см2 (1МПа) рез. фланц.,,8 455.60,Армасети Мск (495) 137-58-03,,Москва,200,Виброкомпенсатор,Металлопрокат
1,Виброкомпенсатор 200 10кгс/см2 (1МПа) рез. фланц.,,8 455.60,Армасети Нск (383) 209-56-40,,Новосибирск,200,Виброкомпенсатор,Металлопрокат
2,Виброкомпенсатор 200 16кгс/см2 (1.6МПа) рез. фланц.,,8 970.00,Армасети Мск (495) 137-58-03,,Москва,200,Виброкомпенсатор,Металлопрокат
3,Виброкомпенсатор 200 16кгс/см2 (1.6МПа) фланц. REON Траб.=95°С Тmax=110°С,,14 690.00,Армасети Нск (383) 209-56-40,,Новосибирск,200,Виброкомпенсатор,Металлопрокат
0,Виброкомпенсатор 250 16кгс/см2 (1.6МПа) фланц. REON Траб.=95°С Тmax=110°С,,23 079.00,Армасети Нск (383) 209-56-40,,Новосибирск,250,Виброкомпенсатор,Металлопрокат
0,Виброкомпенсатор 300 10кгс/см2 (1МПа) рез. фланц.,,13 156.00,Армасети Нск (383) 209-56-40,,Новосибирск,300,Виброкомпенсатор,Металлопрокат
1,Виброкомпенсатор 300 16кгс/см2 (1.6МПа) рез. фланц.,,13 987.37,Армасети Мск (495) 137-58-03,,Москва,300,Виброкомпенсатор,Металлопрокат
