,Наименование,"Цена за 1шт., руб. с НДС",Поставщик,Поставщик.1,Город,Размер,Подраздел,Раздел
0,Втулка ПНД 25 PN 16 SDR 11 ПЭ 100 спигот под фланец EUROSTANDARD,309.7,Сантехкомплект Мск (495) 645-00-00,,Москва,25,Втулка ПНД,Металлопрокат
0,Втулка ПНД 32 PN 16 SDR 11 ПЭ 100 спигот под фланец,226.8,Сантехкомплект Мск (495) 645-00-00,,Москва,32,Втулка ПНД,Металлопрокат
0,Втулка ПНД 40 PN 16 SDR 11 ПЭ 100 спигот под фланец EUROSTANDARD,322.4,Сантехкомплект Мск (495) 645-00-00,,Москва,40,Втулка ПНД,Металлопрокат
0,Втулка ПНД 50 PN 10 SDR 17 ПЭ 100 спигот под фланец,200.5,Сантехкомплект Мск (495) 645-00-00,,Москва,50,Втулка ПНД,Металлопрокат
1,Втулка ПНД 50 PN 16 SDR 11 ПЭ 100 спигот под фланец EUROSTANDARD,412.0,Сантехкомплект Мск (495) 645-00-00,,Москва,50,Втулка ПНД,Металлопрокат
0,Втулка ПНД 63 SDR 17 ПЭ 100 литая удлиненная под фланец,77.53,МК Промстройметалл Мск (495) 617-17-17,,Москва,63,Втулка ПНД,Металлопрокат
1,Втулка ПНД 63 SDR 11 ПЭ 100 литая удлиненная под фланец,153.84,МК Промстройметалл Мск (495) 617-17-17,,Москва,63,Втулка ПНД,Металлопрокат
2,Втулка ПНД 63 PN 16 SDR 11 ПЭ 100 спигот под фланец,170.4,Сантехкомплект Мск (495) 645-00-00,,Москва,63,Втулка ПНД,Металлопрокат
3,Втулка ПНД 63 PN 10 SDR 17 ПЭ 100 спигот под фланец,170.4,Сантехкомплект Мск (495) 645-00-00,,Москва,63,Втулка ПНД,Металлопрокат
0,Втулка ПНД 75 PN 16 SDR 11 ПЭ 100 спигот под фланец EUROSTANDARD,840.2,Сантехкомплект Мск (495) 645-00-00,,Москва,75,Втулка ПНД,Металлопрокат
0,Втулка ПНД 90 SDR 17 ПЭ 100 литая удлиненная под фланец,190.32,МК Промстройметалл Мск (495) 617-17-17,,Москва,90,Втулка ПНД,Металлопрокат
1,Втулка ПНД 90 PN 10 SDR 17 ПЭ 100 спигот под фланец,378.40,Сантехкомплект Мск (495) 645-00-00,,Москва,90,Втулка ПНД,Металлопрокат
2,Втулка ПНД 90 PN 16 SDR 11 ПЭ 100 спигот под фланец,408.40,Сантехкомплект Мск (495) 645-00-00,,Москва,90,Втулка ПНД,Металлопрокат
3,Втулка ПНД 90 PN 25 SDR 7.4 ПЭ 100 спигот под фланец EUROSTANDARD,1 235.90,Сантехкомплект Мск (495) 645-00-00,,Москва,90,Втулка ПНД,Металлопрокат
0,Втулка ПНД 110 SDR 17 ПЭ 100 литая удлиненная под фланец,254.02,МК Промстройметалл Мск (495) 617-17-17,,Москва,110,Втулка ПНД,Металлопрокат
1,Втулка ПНД 110 SDR 11 ПЭ 100 литая удлиненная под фланец,341.6,МК Промстройметалл Мск (495) 617-17-17,,Москва,110,Втулка ПНД,Металлопрокат
2,Втулка ПНД 110 PN 10 SDR 17 ПЭ 100 спигот под фланец,374.2,Сантехкомплект Мск (495) 645-00-00,,Москва,110,Втулка ПНД,Металлопрокат
3,Втулка ПНД 110 PN 16 SDR 11 ПЭ 100 спигот под фланец,453.5,Сантехкомплект Мск (495) 645-00-00,,Москва,110,Втулка ПНД,Металлопрокат
