,Наименование,Марка стали,"Цена за 1шт., руб. с НДС",Поставщик,Поставщик.1,Город,Размер,Подраздел,Раздел
0,Задвижка 20 16кгс/см2 (1.6МПа),ст20,4 800.00,Стройбаза Мск (921) 835-44-88 доб.,,Москва,20,Задвижка,Металлопрокат
1,Задвижка 20 16кгс/см2 (1.6МПа),ст20,4 800.00,Стройбаза Чер (921) 835-44-88 доб.,,Череповец,20,Задвижка,Металлопрокат
0,Задвижка 40 16кгс/см2 (1.6МПа) AVK DIN F4 серия 06/30,,16 837.15,Торговый дом ЧМК Мск (903) 728-88-72,,Москва,40,Задвижка,Металлопрокат
1,Задвижка 40 10кгс/см2 (1МПа) 16кгс/см2 (1.6МПа) DN40-300 фланцевая AVK серия 06/70,,47 614.13,Торговый дом ЧМК Мск (903) 728-88-72,,Москва,40,Задвижка,Металлопрокат
0,Задвижка 50 16кгс/см2 (1.6МПа) с обрез. клином 30ч39р,,2 683.48,Армасети Нск (383) 209-56-40,,Новосибирск,50,Задвижка,Металлопрокат
1,Задвижка 50 16кгс/см2 (1.6МПа) 30ч6бр,Чугун,3 656.18,Армасети Нск (383) 209-56-40,,Новосибирск,50,Задвижка,Металлопрокат
2,Задвижка 50 16кгс/см2 (1.6МПа) клиновая фланцевая 30с41нж,,7 209.97,Армасети Нск (383) 209-56-40,,Новосибирск,50,Задвижка,Металлопрокат
3,Задвижка 50 с обрез. клином REON Траб.=95°С,Чугун,7 835.00,Армасети Екб (343) 226-09-76,,Екатеринбург,50,Задвижка,Металлопрокат
4,Задвижка 50 с обрез. клином REON Траб.=95°С,Чугун,7 835.00,Армасети Нск (383) 209-56-40,,Новосибирск,50,Задвижка,Металлопрокат
5,Задвижка 50 25кгс/см2 (2.5МПа) клиновая 30с64нж,,8 022.26,Торговый дом ЧМК Мск (903) 728-88-72,,Москва,50,Задвижка,Металлопрокат
6,Задвижка 50 25кгс/см2 (2.5МПа) фланц. клиновая 30с64нж,,9 216.00,Армасети Екб (343) 226-09-76,,Екатеринбург,50,Задвижка,Металлопрокат
7,Задвижка 50 25кгс/см2 (2.5МПа) фланц. клиновая 30с64нж,,9 216.00,Армасети Нск (383) 209-56-40,,Новосибирск,50,Задвижка,Металлопрокат
