,Наименование,Марка стали,"Цена за 1шт., руб. с НДС",Поставщик,Поставщик.1,Город,Размер,Подраздел,Раздел
0,Задвижка шиберная 50 16кгс/см2 (1.6МПа) ножевая ручная,,9 900.00,Армасети Мск (495) 137-58-03,,Москва,50,Задвижка шиберная,Металлопрокат
1,"Задвижка шиберная 50 10кгс/см2 (1МПа) ножевая CMO серия ""А"" выдвижной шток",,20 766.59,Торговый дом ЧМК Мск (903) 728-88-72,,Москва,50,Задвижка шиберная,Металлопрокат
2,"Задвижка шиберная 50 10кгс/см2 (1МПа) ножевая CMO серия ""AB"" выдвижной шток",,29 236.61,Торговый дом ЧМК Мск (903) 728-88-72,,Москва,50,Задвижка шиберная,Металлопрокат
3,"Задвижка шиберная 50 10кгс/см2 (1МПа) ножевая CMO серия ""T""",,34 344.48,Торговый дом ЧМК Мск (903) 728-88-72,,Москва,50,Задвижка шиберная,Металлопрокат
4,"Задвижка шиберная 50 10кгс/см2 (1МПа) ножевая CMO серия ""L""",,36 049.99,Торговый дом ЧМК Мск (903) 728-88-72,,Москва,50,Задвижка шиберная,Металлопрокат
5,"Задвижка шиберная 50 10кгс/см2 (1МПа) ножевая CMO серия ""GL""",,80 227.89,Торговый дом ЧМК Мск (903) 728-88-72,,Москва,50,Задвижка шиберная,Металлопрокат
6,Задвижка шиберная 50 10кгс/см2 (1МПа),Чугун,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,50,Задвижка шиберная,Металлопрокат
0,"Задвижка шиберная 65 10кгс/см2 (1МПа) ножевая CMO серия ""А"" выдвижной шток",,21 353.13,Торговый дом ЧМК Мск (903) 728-88-72,,Москва,65,Задвижка шиберная,Металлопрокат
1,"Задвижка шиберная 65 10кгс/см2 (1МПа) ножевая CMO серия ""AB"" выдвижной шток",,32 457.38,Торговый дом ЧМК Мск (903) 728-88-72,,Москва,65,Задвижка шиберная,Металлопрокат
2,"Задвижка шиберная 65 10кгс/см2 (1МПа) ножевая CMO серия ""T""",,36 414.84,Торговый дом ЧМК Мск (903) 728-88-72,,Москва,65,Задвижка шиберная,Металлопрокат
3,"Задвижка шиберная 65 10кгс/см2 (1МПа) ножевая CMO серия ""L""",,41 419.70,Торговый дом ЧМК Мск (903) 728-88-72,,Москва,65,Задвижка шиберная,Металлопрокат
4,"Задвижка шиберная 65 10кгс/см2 (1МПа) ножевая CMO серия ""GL""",,86 126.52,Торговый дом ЧМК Мск (903) 728-88-72,,Москва,65,Задвижка шиберная,Металлопрокат
5,Задвижка шиберная 65 10кгс/см2 (1МПа),Чугун,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,65,Задвижка шиберная,Металлопрокат
0,Задвижка шиберная 80 16кгс/см2 (1.6МПа) ножевая ручная,,11 400.00,Армасети Мск (495) 137-58-03,,Москва,80,Задвижка шиберная,Металлопрокат
1,Задвижка шиберная 80 16кгс/см2 (1.6МПа) ножевая ручная,,11 400.00,Армасети Екб (343) 226-09-76,,Екатеринбург,80,Задвижка шиберная,Металлопрокат
2,Задвижка шиберная 80 16кгс/см2 (1.6МПа) ножевая ручная,,11 400.00,Армасети Нск (383) 209-56-40,,Новосибирск,80,Задвижка шиберная,Металлопрокат
3,"Задвижка шиберная 80 10кгс/см2 (1МПа) ножевая CMO серия ""А"" выдвижной шток",,21 515.48,Торговый дом ЧМК Мск (903) 728-88-72,,Москва,80,Задвижка шиберная,Металлопрокат
4,"Задвижка шиберная 80 10кгс/см2 (1МПа) ножевая CMO серия ""AB"" выдвижной шток",,33 942.96,Торговый дом ЧМК Мск (903) 728-88-72,,Москва,80,Задвижка шиберная,Металлопрокат
5,"Задвижка шиберная 80 10кгс/см2 (1МПа) ножевая CMO серия ""T""",,42 627.71,Торговый дом ЧМК Мск (903) 728-88-72,,Москва,80,Задвижка шиберная,Металлопрокат
6,"Задвижка шиберная 80 10кгс/см2 (1МПа) ножевая CMO серия ""L""",,46 578.17,Торговый дом ЧМК Мск (903) 728-88-72,,Москва,80,Задвижка шиберная,Металлопрокат
