,Наименование,Марка стали,"Цена за 1шт., руб. с НДС",Поставщик,Поставщик.1,Город,Размер,Подраздел,Раздел
0,Заглушка 15 НР никелир.,,33.5,Армасети Екб (343) 226-09-76,,Екатеринбург,15,Заглушка,Металлопрокат
1,Заглушка 15 ВР никелир.,,36.9,Армасети Екб (343) 226-09-76,,Екатеринбург,15,Заглушка,Металлопрокат
2,Заглушка 15 ВР никелир.,,36.9,Армасети Нск (383) 209-56-40,,Новосибирск,15,Заглушка,Металлопрокат
0,Заглушка 20 НР никелир.,,86.51,Армасети Нск (383) 209-56-40,,Новосибирск,20,Заглушка,Металлопрокат
0,Заглушка 21.3х2 (15) эллиптическая ГОСТ 17379-2001,ст20,35.0,Армасети Екб (343) 226-09-76,,Екатеринбург,21.3х2,Заглушка,Металлопрокат
1,Заглушка 21.3х2 (15) эллиптическая ГОСТ 17379-2001,ст20,35.0,Армасети Нск (383) 209-56-40,,Новосибирск,21.3х2,Заглушка,Металлопрокат
0,Заглушка 25 НР никелир.,,114.7,Армасети Екб (343) 226-09-76,,Екатеринбург,25,Заглушка,Металлопрокат
1,Заглушка 25 НР никелир.,,114.7,Армасети Нск (383) 209-56-40,,Новосибирск,25,Заглушка,Металлопрокат
0,Заглушка 25х2.5 (20) эллиптическая ГОСТ 17379-2001,ст20,32.96,Армасети Екб (343) 226-09-76,,Екатеринбург,25х2.5,Заглушка,Металлопрокат
1,Заглушка 25х2.5 (20) эллиптическая ГОСТ 17379-2001,ст20,32.96,Армасети Нск (383) 209-56-40,,Новосибирск,25х2.5,Заглушка,Металлопрокат
0,Заглушка 26.9х3.2 (20) эллиптическая ГОСТ 17379-2001,ст20,151.59,Армасети Екб (343) 226-09-76,,Екатеринбург,26.9х3.2,Заглушка,Металлопрокат
1,Заглушка 26.9х3.2 (20) эллиптическая ГОСТ 17379-2001,ст20,151.59,Армасети Нск (383) 209-56-40,,Новосибирск,26.9х3.2,Заглушка,Металлопрокат
0,Заглушка 26.9х4 (20) эллиптическая ГОСТ 17379-2001,ст20,120.0,Армасети Нск (383) 209-56-40,,Новосибирск,26.9х4,Заглушка,Металлопрокат
0,Заглушка 32х3 (25) эллиптическая ГОСТ 17379-2001,ст20,32.96,Армасети Мск (495) 137-58-03,,Москва,32х3,Заглушка,Металлопрокат
1,Заглушка 32х3 (25) эллиптическая ГОСТ 17379-2001,ст20,32.96,Армасети Екб (343) 226-09-76,,Екатеринбург,32х3,Заглушка,Металлопрокат
2,Заглушка 32х3 (25) эллиптическая ГОСТ 17379-2001,ст20,32.96,Армасети Нск (383) 209-56-40,,Новосибирск,32х3,Заглушка,Металлопрокат
3,Заглушка 32х3 эллиптическая ГОСТ 17379-2001,ст20,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,32х3,Заглушка,Металлопрокат
0,Заглушка 38х3 (32) эллиптическая ГОСТ 17379-2001,ст20,30.80,Армасети Мск (495) 137-58-03,,Москва,38х3,Заглушка,Металлопрокат
1,Заглушка 38х3 (32) эллиптическая ГОСТ 17379-2001,ст20,30.80,Армасети Екб (343) 226-09-76,,Екатеринбург,38х3,Заглушка,Металлопрокат
2,Заглушка 38х3 (32) эллиптическая ГОСТ 17379-2001,ст20,30.80,Армасети Нск (383) 209-56-40,,Новосибирск,38х3,Заглушка,Металлопрокат
3,Заглушка 38х3 эллиптическая ГОСТ 17379-2001,ст20,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,38х3,Заглушка,Металлопрокат
0,Заглушка 40 НР никелир.,,153.9,Армасети Нск (383) 209-56-40,,Новосибирск,40,Заглушка,Металлопрокат
1,Заглушка 40 ВР никелир.,,889.52,Армасети Нск (383) 209-56-40,,Новосибирск,40,Заглушка,Металлопрокат
0,Заглушка 45х2.5 (40) эллиптическая ГОСТ 17379-2001,ст20,49.50,Армасети Мск (495) 137-58-03,,Москва,45х2.5,Заглушка,Металлопрокат
1,Заглушка 45х2.5 (40) эллиптическая ГОСТ 17379-2001,ст20,49.50,Армасети Екб (343) 226-09-76,,Екатеринбург,45х2.5,Заглушка,Металлопрокат
2,Заглушка 45х2.5 эллиптическая ГОСТ 17379-2001,ст20,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,45х2.5,Заглушка,Металлопрокат
0,Заглушка 45х4 (40) эллиптическая ГОСТ 17379-2001,ст20,41.25,Армасети Мск (495) 137-58-03,,Москва,45х4,Заглушка,Металлопрокат
1,Заглушка 45х4 (40) эллиптическая ГОСТ 17379-2001,ст20,41.25,Армасети Екб (343) 226-09-76,,Екатеринбург,45х4,Заглушка,Металлопрокат
0,Заглушка 50 НР никелир.,,287.79,Армасети Нск (383) 209-56-40,,Новосибирск,50,Заглушка,Металлопрокат
1,Заглушка 50 ВР никелир.,,378.0,Армасети Нск (383) 209-56-40,,Новосибирск,50,Заглушка,Металлопрокат
0,Заглушка 57х3 (50) эллиптическая ГОСТ 17379-2001,ст20,48.40,Армасети Мск (495) 137-58-03,,Москва,57х3,Заглушка,Металлопрокат
1,Заглушка 57х3 (50) эллиптическая ГОСТ 17379-2001,ст20,48.40,Армасети Екб (343) 226-09-76,,Екатеринбург,57х3,Заглушка,Металлопрокат
2,Заглушка 57х3 (50) эллиптическая ГОСТ 17379-2001,ст20,48.40,Армасети Нск (383) 209-56-40,,Новосибирск,57х3,Заглушка,Металлопрокат
3,Заглушка 57х3 (50) эллиптическая ГОСТ 17379-2001,09Г2С,71.10,Армасети Екб (343) 226-09-76,,Екатеринбург,57х3,Заглушка,Металлопрокат
4,Заглушка 57х3 эллиптическая ГОСТ 17379-2001,ст20,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,57х3,Заглушка,Металлопрокат
0,Заглушка 57х5 (50) эллиптическая ГОСТ 17379-2001,ст20,90.0,Армасети Нск (383) 209-56-40,,Новосибирск,57х5,Заглушка,Металлопрокат
0,Заглушка 57х6 (50) эллиптическая ГОСТ 17379-2001,09Г2С,178.2,Армасети Екб (343) 226-09-76,,Екатеринбург,57х6,Заглушка,Металлопрокат
0,Заглушка 76х3.5 эллиптическая ГОСТ 17379-2001,ст20,85.80,Армасети Мск (495) 137-58-03,,Москва,76х3.5,Заглушка,Металлопрокат
1,Заглушка 76х3.5 эллиптическая ГОСТ 17379-2001,ст20,85.80,Армасети Екб (343) 226-09-76,,Екатеринбург,76х3.5,Заглушка,Металлопрокат
2,Заглушка 76х3.5 эллиптическая ГОСТ 17379-2001,ст20,85.80,Армасети Нск (383) 209-56-40,,Новосибирск,76х3.5,Заглушка,Металлопрокат
3,Заглушка 76х3.5 эллиптическая ГОСТ 17379-2001,ст20,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,76х3.5,Заглушка,Металлопрокат
0,Заглушка 76х4 эллиптическая ГОСТ 17379-2001,09Г2С,144.45,Армасети Нск (383) 209-56-40,,Новосибирск,76х4,Заглушка,Металлопрокат
0,Заглушка 76х6 эллиптическая ГОСТ 17379-2001,ст20,145.0,Армасети Екб (343) 226-09-76,,Екатеринбург,76х6,Заглушка,Металлопрокат
1,Заглушка 76х6 эллиптическая ГОСТ 17379-2001,ст20,145.0,Армасети Нск (383) 209-56-40,,Новосибирск,76х6,Заглушка,Металлопрокат
0,Заглушка 89х3.5 эллиптическая ГОСТ 17379-2001,ст20,103.40,Армасети Мск (495) 137-58-03,,Москва,89х3.5,Заглушка,Металлопрокат
1,Заглушка 89х3.5 эллиптическая ГОСТ 17379-2001,ст20,103.40,Армасети Екб (343) 226-09-76,,Екатеринбург,89х3.5,Заглушка,Металлопрокат
2,Заглушка 89х3.5 эллиптическая ГОСТ 17379-2001,ст20,103.40,Армасети Нск (383) 209-56-40,,Новосибирск,89х3.5,Заглушка,Металлопрокат
3,Заглушка 89х3.5 эллиптическая ГОСТ 17379-2001,09Г2С,251.10,Армасети Нск (383) 209-56-40,,Новосибирск,89х3.5,Заглушка,Металлопрокат
4,Заглушка 89х3.5 эллиптическая ГОСТ 17379-2001,09Г2С,322.00,Армасети Нск (383) 209-56-40,,Новосибирск,89х3.5,Заглушка,Металлопрокат
5,Заглушка 89х3.5 эллиптическая ГОСТ 17379-2001,ст20,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,89х3.5,Заглушка,Металлопрокат
0,Заглушка 89х4 эллиптическая ГОСТ 17379-2001,09Г2С,167.4,Армасети Нск (383) 209-56-40,,Новосибирск,89х4,Заглушка,Металлопрокат
0,Заглушка 108х3.5 эллиптическая ГОСТ 17379-2001,ст20,129.4,Армасети Нск (383) 209-56-40,,Новосибирск,108х3.5,Заглушка,Металлопрокат
0,Заглушка 108х4 эллиптическая ГОСТ 17379-2001,ст20,129.40,Армасети Нск (383) 209-56-40,,Новосибирск,108х4,Заглушка,Металлопрокат
1,Заглушка 108х4 эллиптическая ГОСТ 17379-2001,ст20,160.00,Армасети Екб (343) 226-09-76,,Екатеринбург,108х4,Заглушка,Металлопрокат
2,Заглушка 108х4 эллиптическая ГОСТ 17379-2001,ст20,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,108х4,Заглушка,Металлопрокат
0,Заглушка 108х8 эллиптическая ГОСТ 17379-2001,09Г2С,707.13,Армасети Нск (383) 209-56-40,,Новосибирск,108х8,Заглушка,Металлопрокат
0,Заглушка 114х4 эллиптическая ГОСТ 17379-2001,ст20,158.40,Армасети Мск (495) 137-58-03,,Москва,114х4,Заглушка,Металлопрокат
1,Заглушка 114х4 эллиптическая ГОСТ 17379-2001,ст20,158.40,Армасети Екб (343) 226-09-76,,Екатеринбург,114х4,Заглушка,Металлопрокат
2,Заглушка 114х4 эллиптическая ГОСТ 17379-2001,ст20,158.40,Армасети Нск (383) 209-56-40,,Новосибирск,114х4,Заглушка,Металлопрокат
3,Заглушка 114х4 эллиптическая ГОСТ 17379-2001,ст20,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,114х4,Заглушка,Металлопрокат
0,Заглушка 114х8 эллиптическая ГОСТ 17379-2001,ст20,496.54,Армасети Екб (343) 226-09-76,,Екатеринбург,114х8,Заглушка,Металлопрокат
0,Заглушка 133х4 (125) эллиптическая ГОСТ 17379-2001,ст20,188.00,Армасети Мск (495) 137-58-03,,Москва,133х4,Заглушка,Металлопрокат
