,Наименование,Марка стали,"Цена за 1шт., руб. с НДС",Поставщик,Поставщик.1,Город,Размер,Подраздел,Раздел
0,Заглушка фланцевая 10 исп.1 400кгс/см2 (40МПа) (1-10-40) АТК 24.200.02-90,09Г2С,271.15,Армасети Екб (343) 226-09-76,,Екатеринбург,10,Заглушка фланцевая,Металлопрокат
0,Заглушка фланцевая 15 исп.1 400кгс/см2 (40МПа) (1-15-40) АТК 24.200.02-90,09Г2С,271.15,Армасети Екб (343) 226-09-76,,Екатеринбург,15,Заглушка фланцевая,Металлопрокат
1,Заглушка фланцевая 15 исп.1 400кгс/см2 (40МПа) (1-15-40) АТК 24.200.02-90,ст20,445.50,Армасети Екб (343) 226-09-76,,Екатеринбург,15,Заглушка фланцевая,Металлопрокат
2,Заглушка фланцевая 15 исп.1 400кгс/см2 (40МПа) (1-15-40) АТК 24.200.02-90,ст20,445.50,Армасети Нск (383) 209-56-40,,Новосибирск,15,Заглушка фланцевая,Металлопрокат
3,Заглушка фланцевая 15 10кгс/см2 (1МПа) АТК 24.200.02-90,ст20,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,15,Заглушка фланцевая,Металлопрокат
0,Заглушка фланцевая 20 исп.1 60кгс/см2 (6МПа) (1-20-6) АТК 24.200.02-90,09Г2С,250.85,Армасети Екб (343) 226-09-76,,Екатеринбург,20,Заглушка фланцевая,Металлопрокат
1,Заглушка фланцевая 20 исп.1 160кгс/см2 (16МПа) (1-20-16) АТК 24.200.02-90,09Г2С,280.00,Армасети Нск (383) 209-56-40,,Новосибирск,20,Заглушка фланцевая,Металлопрокат
2,Заглушка фланцевая 20 исп.1 400кгс/см2 (40МПа) (1-20-40) АТК 24.200.02-90,09Г2С,313.20,Армасети Екб (343) 226-09-76,,Екатеринбург,20,Заглушка фланцевая,Металлопрокат
3,Заглушка фланцевая 20 исп.1 160кгс/см2 (16МПа) (1-20-16) АТК 24.200.02-90,ст20,445.50,Армасети Мск (495) 137-58-03,,Москва,20,Заглушка фланцевая,Металлопрокат
4,Заглушка фланцевая 20 исп.1 400кгс/см2 (40МПа) (1-20-40) АТК 24.200.02-90,ст20,445.50,Армасети Екб (343) 226-09-76,,Екатеринбург,20,Заглушка фланцевая,Металлопрокат
5,Заглушка фланцевая 20 исп.1 160кгс/см2 (16МПа) (1-20-16) АТК 24.200.02-90,ст20,445.50,Армасети Нск (383) 209-56-40,,Новосибирск,20,Заглушка фланцевая,Металлопрокат
6,Заглушка фланцевая 20 исп.1 400кгс/см2 (40МПа) (1-20-40) АТК 24.200.02-90,ст20,445.50,Армасети Нск (383) 209-56-40,,Новосибирск,20,Заглушка фланцевая,Металлопрокат
