,Наименование,Марка стали,"Цена за 1шт., руб. с НДС",Поставщик,Поставщик.1,Город,Размер,Подраздел,Раздел
0,Заглушка оцинк. 20х2.5 (15) эллиптическая ГОСТ 17379-2001,ст20,48.3,Армасети Нск (383) 209-56-40,,Новосибирск,20х2.5,Заглушка оцинк.,Металлопрокат
0,Заглушка оцинк. 25х2.5 (20) эллиптическая ГОСТ 17379-2001,ст20,48.3,Армасети Нск (383) 209-56-40,,Новосибирск,25х2.5,Заглушка оцинк.,Металлопрокат
0,Заглушка оцинк. 32х3 (25) эллиптическая ГОСТ 17379-2001,ст20,48.30,Армасети Нск (383) 209-56-40,,Новосибирск,32х3,Заглушка оцинк.,Металлопрокат
1,Заглушка оцинк. 32х3 эллиптическая ГОСТ 17379-2001,,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,32х3,Заглушка оцинк.,Металлопрокат
0,Заглушка оцинк. 38х3 (32) эллиптическая ГОСТ 17379-2001,ст20,48.30,Армасети Екб (343) 226-09-76,,Екатеринбург,38х3,Заглушка оцинк.,Металлопрокат
1,Заглушка оцинк. 38х3 (32) эллиптическая ГОСТ 17379-2001,ст20,48.30,Армасети Нск (383) 209-56-40,,Новосибирск,38х3,Заглушка оцинк.,Металлопрокат
2,Заглушка оцинк. 38х3 эллиптическая ГОСТ 17379-2001,,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,38х3,Заглушка оцинк.,Металлопрокат
0,Заглушка оцинк. 45х2.5 эллиптическая ГОСТ 17379-2001,,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,45х2.5,Заглушка оцинк.,Металлопрокат
0,Заглушка оцинк. 57х3 (50) эллиптическая ГОСТ 17379-2001,ст20,79.40,Армасети Нск (383) 209-56-40,,Новосибирск,57х3,Заглушка оцинк.,Металлопрокат
1,Заглушка оцинк. 57х3 эллиптическая ГОСТ 17379-2001,,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,57х3,Заглушка оцинк.,Металлопрокат
0,Заглушка оцинк. 76х3.5 эллиптическая ГОСТ 17379-2001,,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,76х3.5,Заглушка оцинк.,Металлопрокат
0,Заглушка оцинк. 89х3.5 эллиптическая ГОСТ 17379-2001,ст20,141.50,Армасети Нск (383) 209-56-40,,Новосибирск,89х3.5,Заглушка оцинк.,Металлопрокат
1,Заглушка оцинк. 89х3.5 эллиптическая ГОСТ 17379-2001,,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,89х3.5,Заглушка оцинк.,Металлопрокат
0,Заглушка оцинк. 108х4 эллиптическая ГОСТ 17379-2001,ст20,292.70,Армасети Нск (383) 209-56-40,,Новосибирск,108х4,Заглушка оцинк.,Металлопрокат
1,Заглушка оцинк. 108х4 эллиптическая ГОСТ 17379-2001,,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,108х4,Заглушка оцинк.,Металлопрокат
0,Заглушка оцинк. 114х4 эллиптическая ГОСТ 17379-2001,,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,114х4,Заглушка оцинк.,Металлопрокат
0,Заглушка оцинк. 133х4 (125) эллиптическая ГОСТ 17379-2001,ст20,373.80,Армасети Нск (383) 209-56-40,,Новосибирск,133х4,Заглушка оцинк.,Металлопрокат
1,Заглушка оцинк. 133х4 эллиптическая ГОСТ 17379-2001,,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,133х4,Заглушка оцинк.,Металлопрокат
0,Заглушка оцинк. 159х4.5 эллиптическая ГОСТ 17379-2001,ст20,448.50,Армасети Нск (383) 209-56-40,,Новосибирск,159х4.5,Заглушка оцинк.,Металлопрокат
1,Заглушка оцинк. 159х4.5 эллиптическая ГОСТ 17379-2001,,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,159х4.5,Заглушка оцинк.,Металлопрокат
0,Заглушка оцинк. 219х6 эллиптическая ГОСТ 17379-2001,,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,219х6,Заглушка оцинк.,Металлопрокат
0,Заглушка оцинк. 273х8 эллиптическая ГОСТ 17379-2001,,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,273х8,Заглушка оцинк.,Металлопрокат
0,Заглушка оцинк. 325х8 эллиптическая ГОСТ 17379-2001,,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,325х8,Заглушка оцинк.,Металлопрокат
0,Заглушка оцинк. 325х10 эллиптическая ГОСТ 17379-2001,,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,325х10,Заглушка оцинк.,Металлопрокат
0,Заглушка оцинк. 377х10 эллиптическая ГОСТ 17379-2001,,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,377х10,Заглушка оцинк.,Металлопрокат
0,Заглушка оцинк. 426х10 эллиптическая ГОСТ 17379-2001,,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,426х10,Заглушка оцинк.,Металлопрокат
0,Заглушка оцинк. 530х10 эллиптическая ГОСТ 17379-2001,,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,530х10,Заглушка оцинк.,Металлопрокат
0,Заглушка оцинк. 630х10 эллиптическая ГОСТ 17379-2001,,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,630х10,Заглушка оцинк.,Металлопрокат
