,Наименование,"Цена за 1шт., руб. с НДС",Поставщик,Поставщик.1,Город,Размер,Подраздел,Раздел
0,Заглушка ПНД 20 PN 16 SDR 11 ПЭ 100 электросварная TEGA,377.5,Сантехкомплект Мск (495) 645-00-00,,Москва,20,Заглушка ПНД,Металлопрокат
1,Заглушка ПНД 20 PN 25 SDR 7.4 ПЭ 100 электросварная EUROSTANDARD,584.3,Сантехкомплект Мск (495) 645-00-00,,Москва,20,Заглушка ПНД,Металлопрокат
0,Заглушка ПНД 25 PN 16 SDR 11 ПЭ 100 электросварная TEGA,395.0,Сантехкомплект Мск (495) 645-00-00,,Москва,25,Заглушка ПНД,Металлопрокат
1,Заглушка ПНД 25 PN 25 SDR 7.4 ПЭ 100 электросварная EUROSTANDARD,610.9,Сантехкомплект Мск (495) 645-00-00,,Москва,25,Заглушка ПНД,Металлопрокат
0,Заглушка ПНД 32 SDR 11 ПЭ 100 литая газ вода ЮУП,27.46,МК Промстройметалл Мск (495) 617-17-17,,Москва,32,Заглушка ПНД,Металлопрокат
1,Заглушка ПНД 32 PN 16 SDR 11 ПЭ 100 электросварная TEGA,356.8,Сантехкомплект Мск (495) 645-00-00,,Москва,32,Заглушка ПНД,Металлопрокат
2,Заглушка ПНД 32 PN 16 SDR 11 ПЭ 100 электросварная EUROSTANDARD,622.9,Сантехкомплект Мск (495) 645-00-00,,Москва,32,Заглушка ПНД,Металлопрокат
0,Заглушка ПНД 40 PN 16 SDR 11 ПЭ 100 электросварная TEGA,492.7,Сантехкомплект Мск (495) 645-00-00,,Москва,40,Заглушка ПНД,Металлопрокат
1,Заглушка ПНД 40 PN 25 SDR 7.4 ПЭ 100 электросварная EUROSTANDARD,887.5,Сантехкомплект Мск (495) 645-00-00,,Москва,40,Заглушка ПНД,Металлопрокат
0,Заглушка ПНД 50 PN 16 SDR 11 ПЭ 100 спигот EUROSTANDARD,648.40,Сантехкомплект Мск (495) 645-00-00,,Москва,50,Заглушка ПНД,Металлопрокат
1,Заглушка ПНД 50 PN 16 SDR 11 ПЭ 100 электросварная TEGA,695.60,Сантехкомплект Мск (495) 645-00-00,,Москва,50,Заглушка ПНД,Металлопрокат
2,Заглушка ПНД 50 PN 25 SDR 7.4 ПЭ 100 электросварная EUROSTANDARD,1 175.90,Сантехкомплект Мск (495) 645-00-00,,Москва,50,Заглушка ПНД,Металлопрокат
0,Заглушка ПНД 63 SDR 11 ПЭ 100 литая газ вода ЮУП,90.22,МК Промстройметалл Мск (495) 617-17-17,,Москва,63,Заглушка ПНД,Металлопрокат
1,Заглушка ПНД 63 PN 16 SDR 11 ПЭ 100 спигот,146.00,Сантехкомплект Мск (495) 645-00-00,,Москва,63,Заглушка ПНД,Металлопрокат
2,Заглушка ПНД 63 PN 16 SDR 11 ПЭ 100 электросварная TEGA,621.20,Сантехкомплект Мск (495) 645-00-00,,Москва,63,Заглушка ПНД,Металлопрокат
3,Заглушка ПНД 63 PN 16 SDR 11 ПЭ 100 электросварная EUROSTANDARD,1 076.50,Сантехкомплект Мск (495) 645-00-00,,Москва,63,Заглушка ПНД,Металлопрокат
0,Заглушка ПНД 75 PN 16 SDR 11 ПЭ 100 электросварная TEGA,1 028.60,Сантехкомплект Мск (495) 645-00-00,,Москва,75,Заглушка ПНД,Металлопрокат
0,Заглушка ПНД 90 SDR 11 ПЭ 100 литая газ вода ЮУП,175.50,МК Промстройметалл Мск (495) 617-17-17,,Москва,90,Заглушка ПНД,Металлопрокат
1,Заглушка ПНД 90 PN 16 SDR 11 ПЭ 100 спигот,480.20,Сантехкомплект Мск (495) 645-00-00,,Москва,90,Заглушка ПНД,Металлопрокат
2,Заглушка ПНД 90 PN 16 SDR 11 ПЭ 100 электросварная TEGA,1 280.80,Сантехкомплект Мск (495) 645-00-00,,Москва,90,Заглушка ПНД,Металлопрокат
3,Заглушка ПНД 90 PN 16 SDR 11 ПЭ 100 электросварная EUROSTANDARD,2 070.40,Сантехкомплект Мск (495) 645-00-00,,Москва,90,Заглушка ПНД,Металлопрокат
0,Заглушка ПНД 110 SDR 11 ПЭ 100 литая газ вода ЮУП,269.10,МК Промстройметалл Мск (495) 617-17-17,,Москва,110,Заглушка ПНД,Металлопрокат
1,Заглушка ПНД 110 PN 16 SDR 11 ПЭ 100 спигот,720.20,Сантехкомплект Мск (495) 645-00-00,,Москва,110,Заглушка ПНД,Металлопрокат
2,Заглушка ПНД 110 PN 16 SDR 11 ПЭ 100 электросварная TEGA,1 403.20,Сантехкомплект Мск (495) 645-00-00,,Москва,110,Заглушка ПНД,Металлопрокат
3,Заглушка ПНД 110 PN 16 SDR 11 ПЭ 100 электросварная EUROSTANDARD,2 433.70,Сантехкомплект Мск (495) 645-00-00,,Москва,110,Заглушка ПНД,Металлопрокат
0,Заглушка ПНД 125 PN 16 SDR 11 ПЭ 100 электросварная TEGA,2 614.80,Сантехкомплект Мск (495) 645-00-00,,Москва,125,Заглушка ПНД,Металлопрокат
1,Заглушка ПНД 125 PN 16 SDR 11 ПЭ 100 электросварная EUROSTANDARD,3 588.60,Сантехкомплект Мск (495) 645-00-00,,Москва,125,Заглушка ПНД,Металлопрокат
0,Заглушка ПНД 140 PN 16 SDR 11 ПЭ 100 электросварная TEGA,3 259.30,Сантехкомплект Мск (495) 645-00-00,,Москва,140,Заглушка ПНД,Металлопрокат
1,Заглушка ПНД 140 PN 16 SDR 11 ПЭ 100 электросварная EUROSTANDARD,4 416.70,Сантехкомплект Мск (495) 645-00-00,,Москва,140,Заглушка ПНД,Металлопрокат
0,Заглушка ПНД 160 SDR 11 ПЭ 100 литая газ вода ЮУП,456.30,МК Промстройметалл Мск (495) 617-17-17,,Москва,160,Заглушка ПНД,Металлопрокат
1,Заглушка ПНД 160 PN 16 SDR 11 ПЭ 100 спигот,1 331.60,Сантехкомплект Мск (495) 645-00-00,,Москва,160,Заглушка ПНД,Металлопрокат
2,Заглушка ПНД 160 PN 16 SDR 11 ПЭ 100 электросварная TEGA,2 606.20,Сантехкомплект Мск (495) 645-00-00,,Москва,160,Заглушка ПНД,Металлопрокат
3,Заглушка ПНД 160 PN 16 SDR 11 ПЭ 100 электросварная EUROSTANDARD,4 535.40,Сантехкомплект Мск (495) 645-00-00,,Москва,160,Заглушка ПНД,Металлопрокат
0,Заглушка ПНД 180 PN 16 SDR 11 ПЭ 100 электросварная TEGA,3 670.40,Сантехкомплект Мск (495) 645-00-00,,Москва,180,Заглушка ПНД,Металлопрокат
1,Заглушка ПНД 180 PN 16 SDR 11 ПЭ 100 электросварная EUROSTANDARD,5 684.60,Сантехкомплект Мск (495) 645-00-00,,Москва,180,Заглушка ПНД,Металлопрокат
0,Заглушка ПНД 200 PN 16 SDR 11 ПЭ 100 электросварная TEGA,7 445.40,Сантехкомплект Мск (495) 645-00-00,,Москва,200,Заглушка ПНД,Металлопрокат
0,Заглушка ПНД 225 PN 16 SDR 11 ПЭ 100 спигот,4 324.70,Сантехкомплект Мск (495) 645-00-00,,Москва,225,Заглушка ПНД,Металлопрокат
1,Заглушка ПНД 225 PN 16 SDR 11 ПЭ 100 электросварная TEGA,10 758.60,Сантехкомплект Мск (495) 645-00-00,,Москва,225,Заглушка ПНД,Металлопрокат
0,Заглушка ПНД 250 PN 16 SDR 11 ПЭ 100 электросварная TEGA,14 206.90,Сантехкомплект Мск (495) 645-00-00,,Москва,250,Заглушка ПНД,Металлопрокат
0,Заглушка ПНД 280 PN 16 SDR 11 ПЭ 100 электросварная TEGA,20 798.50,Сантехкомплект Мск (495) 645-00-00,,Москва,280,Заглушка ПНД,Металлопрокат
0,Заглушка ПНД 315 PN 16 SDR 11 ПЭ 100 электросварная TEGA,24 564.10,Сантехкомплект Мск (495) 645-00-00,,Москва,315,Заглушка ПНД,Металлопрокат
