,Наименование,Марка стали,"Цена за 1шт., руб. с НДС",Поставщик,Поставщик.1,Город,Размер,Подраздел,Раздел
0,Затвор 40 повор. диск. ручн.,,693.70,Армасети Мск (495) 137-58-03,,Москва,40,Затвор,Металлопрокат
1,Затвор 40 повор. диск. ручн.,,693.70,Армасети Нск (383) 209-56-40,,Новосибирск,40,Затвор,Металлопрокат
2,Затвор 40 16кгс/см2 (1.6МПа) диск. поворотный REON Траб.=95°С Тmax=120°С,,3 494.00,Армасети Екб (343) 226-09-76,,Екатеринбург,40,Затвор,Металлопрокат
3,Затвор 40 16кгс/см2 (1.6МПа) диск. поворотный REON Траб.=95°С Тmax=120°С,,3 494.00,Армасети Нск (383) 209-56-40,,Новосибирск,40,Затвор,Металлопрокат
0,Затвор 50 повор. диск. ручн. Light,,707.00,Армасети Нск (383) 209-56-40,,Новосибирск,50,Затвор,Металлопрокат
1,Затвор 50 повор. диск. ручн.,,844.23,Армасети Мск (495) 137-58-03,,Москва,50,Затвор,Металлопрокат
2,Затвор 50 повор. диск. ручн.,,844.23,Армасети Нск (383) 209-56-40,,Новосибирск,50,Затвор,Металлопрокат
3,Затвор 50 10кгс/см2 (1МПа) 16кгс/см2 (1.6МПа) поворотный межфланцевый СИНИЙ седло EPDM с рукояткой ABRA,,3 435.52,Армасети Нск (383) 209-56-40,,Новосибирск,50,Затвор,Металлопрокат
4,Затвор 50 16кгс/см2 (1.6МПа) диск. поворотный REON Траб.=95°С Тmax=120°С,,3 494.00,Армасети Екб (343) 226-09-76,,Екатеринбург,50,Затвор,Металлопрокат
5,Затвор 50 16кгс/см2 (1.6МПа) диск. поворотный REON Траб.=95°С Тmax=120°С,,3 494.00,Армасети Нск (383) 209-56-40,,Новосибирск,50,Затвор,Металлопрокат
0,Затвор 65 повор. диск. ручн.,,1 029.10,Армасети Мск (495) 137-58-03,,Москва,65,Затвор,Металлопрокат
1,Затвор 65 повор. диск. ручн.,,1 029.10,Армасети Екб (343) 226-09-76,,Екатеринбург,65,Затвор,Металлопрокат
2,Затвор 65 повор. диск. ручн.,,1 029.10,Армасети Нск (383) 209-56-40,,Новосибирск,65,Затвор,Металлопрокат
3,Затвор 65 10кгс/см2 (1МПа) 16кгс/см2 (1.6МПа) поворотный межфланцевый СИНИЙ седло EPDM с рукояткой ABRA,,3 855.70,Армасети Нск (383) 209-56-40,,Новосибирск,65,Затвор,Металлопрокат
4,Затвор 65 16кгс/см2 (1.6МПа) диск. поворотный REON Траб.=95°С Тmax=120°С,,4 088.00,Армасети Екб (343) 226-09-76,,Екатеринбург,65,Затвор,Металлопрокат
5,Затвор 65 16кгс/см2 (1.6МПа) диск. поворотный REON Траб.=95°С Тmax=120°С,,4 088.00,Армасети Нск (383) 209-56-40,,Новосибирск,65,Затвор,Металлопрокат
0,Затвор 80 повор. диск. ручн.,,1 055.88,Армасети Мск (495) 137-58-03,,Москва,80,Затвор,Металлопрокат
1,Затвор 80 повор. диск. ручн.,,1 055.88,Армасети Екб (343) 226-09-76,,Екатеринбург,80,Затвор,Металлопрокат
2,Затвор 80 повор. диск. ручн.,,1 055.88,Армасети Нск (383) 209-56-40,,Новосибирск,80,Затвор,Металлопрокат
3,Затвор 80 10кгс/см2 (1МПа) 16кгс/см2 (1.6МПа) поворотный межфланцевый СИНИЙ седло EPDM с рукояткой ABRA,,4 366.80,Армасети Нск (383) 209-56-40,,Новосибирск,80,Затвор,Металлопрокат
4,Затвор 80 16кгс/см2 (1.6МПа) диск. поворотный REON Траб.=95°С Тmax=120°С,,4 630.00,Армасети Екб (343) 226-09-76,,Екатеринбург,80,Затвор,Металлопрокат
5,Затвор 80 16кгс/см2 (1.6МПа) диск. поворотный REON Траб.=95°С Тmax=120°С,,4 630.00,Армасети Нск (383) 209-56-40,,Новосибирск,80,Затвор,Металлопрокат
6,Затвор 80 межфланц. RSV38 REON,Чугун,6 212.00,Армасети Нск (383) 209-56-40,,Новосибирск,80,Затвор,Металлопрокат
0,Затвор 100 повор. диск. ручн.,,1 327.07,Армасети Мск (495) 137-58-03,,Москва,100,Затвор,Металлопрокат
1,Затвор 100 повор. диск. ручн.,,1 327.07,Армасети Нск (383) 209-56-40,,Новосибирск,100,Затвор,Металлопрокат
2,Затвор 100 10кгс/см2 (1МПа) 16кгс/см2 (1.6МПа) поворотный межфланцевый СИНИЙ седло EPDM с рукояткой ABRA,,5 689.50,Армасети Нск (383) 209-56-40,,Новосибирск,100,Затвор,Металлопрокат
3,Затвор 100 16кгс/см2 (1.6МПа) диск. поворотный REON Траб.=95°С Тmax=120°С,,6 031.00,Армасети Екб (343) 226-09-76,,Екатеринбург,100,Затвор,Металлопрокат
4,Затвор 100 16кгс/см2 (1.6МПа) диск. поворотный REON Траб.=95°С Тmax=120°С,,6 031.00,Армасети Нск (383) 209-56-40,,Новосибирск,100,Затвор,Металлопрокат
0,Затвор 125 повор. диск. ручн.,,2 524.30,Армасети Мск (495) 137-58-03,,Москва,125,Затвор,Металлопрокат
1,Затвор 125 повор. диск. ручн.,,2 524.30,Армасети Екб (343) 226-09-76,,Екатеринбург,125,Затвор,Металлопрокат
2,Затвор 125 повор. диск. ручн.,,2 524.30,Армасети Нск (383) 209-56-40,,Новосибирск,125,Затвор,Металлопрокат
3,Затвор 125 16кгс/см2 (1.6МПа) диск. поворотный REON Траб.=95°С Тmax=120°С,,7 863.00,Армасети Екб (343) 226-09-76,,Екатеринбург,125,Затвор,Металлопрокат
0,Затвор 150 повор. диск. ручн.,,3 952.31,Армасети Мск (495) 137-58-03,,Москва,150,Затвор,Металлопрокат
1,Затвор 150 повор. диск. ручн.,,3 952.31,Армасети Екб (343) 226-09-76,,Екатеринбург,150,Затвор,Металлопрокат
2,Затвор 150 повор. диск. ручн.,,3 952.31,Армасети Нск (383) 209-56-40,,Новосибирск,150,Затвор,Металлопрокат
3,Затвор 150 16кгс/см2 (1.6МПа) диск. поворотный REON Траб.=95°С Тmax=120°С,,9 280.00,Армасети Екб (343) 226-09-76,,Екатеринбург,150,Затвор,Металлопрокат
4,Затвор 150 16кгс/см2 (1.6МПа) диск. поворотный REON Траб.=95°С Тmax=120°С,,9 280.00,Армасети Нск (383) 209-56-40,,Новосибирск,150,Затвор,Металлопрокат
0,Затвор 200 повор. диск. ручн.,,5 918.20,Армасети Мск (495) 137-58-03,,Москва,200,Затвор,Металлопрокат
1,Затвор 200 повор. диск. ручн.,,5 918.20,Армасети Екб (343) 226-09-76,,Екатеринбург,200,Затвор,Металлопрокат
2,Затвор 200 повор. диск. ручн.,,5 918.20,Армасети Нск (383) 209-56-40,,Новосибирск,200,Затвор,Металлопрокат
3,Затвор 200 16кгс/см2 (1.6МПа) диск. поворотный REON Траб.=95°С Тmax=120°С,,14 317.00,Армасети Екб (343) 226-09-76,,Екатеринбург,200,Затвор,Металлопрокат
